conference,unique_id,title,code_urls
aaai,12307,The Hidden Convexity of Spectral Clustering,['https://github.com/vossj/HBR-Spectral-Clustering']
aaai,11879,Near-Optimal Active Learning of Multi-Output Gaussian Processes,['https://github.com/sumitsk/MOGP-AL']
aaai,11740,Extracting Biomolecular Interactions Using Semantic Parsing of Biomedical Text,['https://github.com/sgarg87/big_mech_isi_gg']
aaai,12489,Character-Aware Neural Language Models,"['https://github.com/mhjabreel/CharCnn_Keras', 'https://github.com/davidsvaughn/dts-tf', 'https://github.com/yoonkim/lstm-char-cnn', 'https://github.com/kefirski/pytorch_RVAE', 'https://github.com/chanedwin/kaggletoxic', 'https://github.com/SeonbeomKim/TensorFlow-lstm-char-cnn', 'https://github.com/NLPLearn/QANet', 'https://github.com/seharanul17/RNN-LM', 'https://github.com/SNUDerek/multiLSTM', 'https://github.com/stikbuf/Language_Modeling', 'https://github.com/arvind385801/paraphraseGen']"
aaai,11895,Text Matching as Image Recognition,"['https://github.com/super-zhangchao/learning-to-match', 'https://github.com/pl8787/MatchPyramid-TensorFlow', 'https://github.com/NTMC-Community/MatchZoo', 'https://github.com/SJHBXShub/Question_pair']"
aaai,12256,Reading Scene Text in Deep Convolutional Sequences,['https://github.com/somitmittal/Reading-Scene-Text-from-Images-using-Tensorflow-CNN-Bidirectional-LSTM-CTC-Loss']
aaai,11957,Building End-To-End Dialogue Systems Using Generative Hierarchical Neural Network Models,"['https://github.com/julianser/hed-dlg-truncated', 'https://github.com/sumanbanerjee1/Code-Mixed-Dialog', 'https://github.com/vamshi009/End-to-End-HRED-Dialogue-System', 'https://github.com/wayalhruhi/julianser', 'https://github.com/michaelfarrell76/End-To-End-Generative-Dialogue', 'https://github.com/Tanasho0928/ncm']"
aaai,12196,Transfer Learning from Deep Features for Remote Sensing and Poverty Mapping,['https://github.com/kushthedude/Poverty-Predictor']
aaai,8240,Automatic Construction and Natural-Language Description of Nonparametric Regression Models,"['https://github.com/jamesrobertlloyd/gpss-research', 'https://github.com/jamesrobertlloyd/gp-structure-search']"
aaai,16893,EAD: Elastic-Net Attacks to Deep Neural Networks via Adversarial Examples,"['https://github.com/ysharma1126/EAD-Attack', 'https://github.com/ysharma1126/EAD_Attack']"
aaai,17085,Learning the Joint Representation of Heterogeneous Temporal Events for Clinical Endpoint Prediction,['https://github.com/pkusjh/HELSTM']
aaai,17015,Style Transfer in Text: Exploration and Evaluation,"['https://github.com/fuzhenxin/text_style_transfer', 'https://github.com/rj-IIITH18/style_transfer_in_text']"
aaai,17181,Complex Sequential Question Answering: Towards Learning to Converse Over Linked Question Answer Pairs with a Knowledge Graph,['https://github.com/mali-git/CSQA_Implementation']
aaai,16455,Emotional Chatting Machine: Emotional Conversation Generation with Internal and External Memory,"['https://github.com/tuxchow/ecm', 'https://github.com/KChikai/Responsive-Dialogue-Generation', 'https://github.com/yukiar/Responsive-and-Self-Expressive-Dialogue-Generation']"
aaai,16568,It Takes (Only) Two: Adversarial Generator-Encoder Networks,['https://github.com/DmitryUlyanov/AGE']
aaai,16285,Beyond Sparsity: Tree Regularization of Deep Models for Interpretability,"['https://github.com/wangyue2334/anomelies', 'https://github.com/dtak/tree-regularization-public']"
aaai,16195,A Low-Cost Ethics Shaping Approach for Designing Reinforcement Learning Agents,['https://github.com/kristery/EthicsShaping']
aaai,17366,Convolutional 2D Knowledge Graph Embeddings,"['https://github.com/INK-USC/RENet', 'https://github.com/TimDettmers/ConvE', 'https://github.com/thukg/KG-Reading-List', 'https://github.com/INK-USC/RE-Net', 'https://github.com/xuchang-x/ConvELinkPrediction']"
aaai,16055,Open-World Knowledge Graph Completion,['https://github.com/bxshi/ConMask']
aaai,16758,Collaborative Filtering with User-Item Co-Autoregressive Models,['https://github.com/thu-ml/CF-UIcA']
aaai,16737,Task-Aware Compressed Sensing with Generative Adversarial Networks,['https://github.com/po0ya/csgan']
aaai,16339,Neural Ideal Point Estimation Network,['https://github.com/gtshs2/NIPEN']
aaai,16611,GraphGAN: Graph Representation Learning with Generative Adversarial Nets,['https://github.com/hwwang55/GraphGAN']
aaai,16755,Efficient Architecture Search by Network Transformation,"['https://github.com/han-cai/PathLevel-EAS', 'https://github.com/han-cai/EAS']"
aaai,16517,Reversible Architectures for Arbitrarily Deep Residual Neural Networks,['https://github.com/EmoryMLIP/DynamicBlocks']
aaai,17425,Gated-Attention Architectures for Task-Oriented Language Grounding,['https://github.com/devendrachaplot/DeepRL-Grounding']
aaai,16778,LSTD: A Low-Shot Transfer Detector for Object Detection,['https://github.com/Cassie94/LSTD']
aaai,17184,Distributional Reinforcement Learning with Quantile Regression,"['https://github.com/ars-ashuha/quantile-regression-dqn-pytorch', 'https://github.com/facebookresearch/Horizon', 'https://github.com/sannebh/riskaverse_rl', 'https://github.com/facebookresearch/ReAgent', 'https://github.com/Kchu/DeepRL_CK', 'https://github.com/sannebh/riskaverse']"
aaai,17241,Decomposition Strategies for Constructive Preference Elicitation,['https://github.com/unitn-sml/pcl']
aaai,17193,Counterfactual Multi-Agent Policy Gradients,['https://github.com/nsrishankar/rl_swarm_papers']
aaai,17409,Flow-GAN: Combining Maximum Likelihood and Adversarial Learning in Generative Models,['https://github.com/ermongroup/flow-gan']
aaai,17403,Boosted Generative Models,['https://github.com/ermongroup/bgm']
aaai,17204,Rainbow: Combining Improvements in Deep Reinforcement Learning,"['https://github.com/mingyip/Rainbow-Reinforcement-Learning-For-Chess-Games', 'https://github.com/JayLohokare/banana-world-navigation', 'https://github.com/facebookresearch/Horizon', 'https://github.com/rallesiardo/random_scripts_and_notebooks', 'https://github.com/efg59/Rainbow', 'https://github.com/deconlabs/Binanace_trading_simulation', 'https://github.com/deconlabs/TradingZoo-Dynamic-fee-simulation', 'https://github.com/liuyuezhang/pyrl', 'https://github.com/chainer/chainerrl', 'https://github.com/odokumaci/rainbow-unity-obstacle-tower-challenge', 'https://github.com/SethKitchen/2018RLComparison', 'https://github.com/facebookresearch/ReAgent', 'https://github.com/htdt/rainbow', 'https://github.com/rhshi/Minitaur', 'https://github.com/vgudapati/DRLND_Navigation', 'https://github.com/dsapandora/s_cera', 'https://github.com/deconlabs/Binanace-trading-simulation']"
aaai,16201,Unified Spectral Clustering with Optimal Graph,['https://github.com/sckangz/AAAI18']
aaai,16946,Deep Semi-Random Features for Nonlinear Function Approximation,['https://github.com/zixu1986/semi-random']
aaai,16067,Learning to Generalize: Meta-Learning for Domain Generalization,"['https://github.com/HAHA-DL/MLDG', 'https://github.com/Pulkit-Khandelwal/mldg']"
aaai,17067,Multi-Adversarial Domain Adaptation,['https://github.com/arthurdouillard/mada.pytorch']
aaai,16528,FiLM: Visual Reasoning with a General Conditioning Layer,"['https://github.com/ethanjperez/film', 'https://github.com/GuessWhatGame/clevr', 'https://github.com/yeonwoo90/conditions']"
aaai,17370,From Monte Carlo to Las Vegas: Improving Restricted Boltzmann Machine Training Through Stopping Sets,['https://github.com/PurdueMINDS/MCLV-RBM']
aaai,17155,Wasserstein Distance Guided Representation Learning for Domain Adaptation,"['https://github.com/yjhong89/Domain-Adaptation', 'https://github.com/RockySJ/WDGRL']"
aaai,17222,Action Branching Architectures for Deep Reinforcement Learning,['https://github.com/MoMe36/BranchingDQN']
aaai,16761,Kernel Cross-Correlator,['https://github.com/wang-chen/KCC']
aaai,16479,Deep Neural Network Compression with Single and Multiple Level Quantization,['https://github.com/yuhuixu1993/SLQ']
aaai,16216,ATRank: An Attention-Based User Behavior Modeling Framework for Recommendation,"['https://github.com/johnlevi/recsys', 'https://github.com/jinze1994/ATRank']"
aaai,17433,SPINE: SParse Interpretable Neural Embeddings,['https://github.com/harsh19/SPINE']
aaai,16725,Deep Semantic Role Labeling with Self-Attention,['https://github.com/XMUNLP/Tagger']
aaai,16577,Does William Shakespeare REALLY Write Hamlet? Knowledge Representation Learning with Confidence,['https://github.com/thunlp/CKRL']
aaai,17394,Lattice Recurrent Unit: Improving Convergence and Statistical Efficiency for Sequence Modeling,"['https://github.com/simonnanty/8f6667310a94f0c18bda10a1d5ff578c', 'https://github.com/chahuja/lru']"
aaai,16682,Learning to Compose Task-Specific Tree Structures,['https://github.com/jihunchoi/unsupervised-treelstm']
aaai,16710,A Knowledge-Grounded Neural Conversation Model,['https://github.com/DSTC-MSR-NLP/DSTC7-End-to-End-Conversation-Modeling']
aaai,16360,Long Text Generation via Adversarial Training with Leaked Information,"['https://github.com/liyzcj/leakgan-py3', 'https://github.com/rupes438/CodeGen', 'https://github.com/CR-Gjx/LeakGAN', 'https://github.com/nurpeiis/LeakGAN-PyTorch', 'https://github.com/valko073/LyricsGANs']"
aaai,16353,A Deep Generative Framework for Paraphrase Generation,['https://github.com/arvind385801/paraphraseGen']
aaai,17123,Empower Sequence Labeling with Task-Aware Neural Language Model,"['https://github.com/LiyuanLucasLiu/LM-LSTM-CRF', 'https://github.com/zysite/post']"
aaai,16780,Fact Checking in Community Forums,"['https://github.com/olabknbit/FactChecking', 'https://github.com/liupeng0606/E', 'https://github.com/qcri/QLFactChecking']"
aaai,17148,DeepType: Multilingual Entity Linking by Neural Type System Evolution,['https://github.com/openai/deeptype']
aaai,16203,Order-Planning Neural Text Generation From Structured Data,['https://github.com/anindyasarkarIITH/Structure_data_to_summary']
aaai,16632,Cross Temporal Recurrent Networks for Ranking Question Answer Pairs,['https://github.com/vanzytay/YahooQA_Splits']
aaai,17043,How Images Inspire Poems: Generating Classical Chinese Poetry from Images with Memory Networks,"['https://github.com/forrestbing/chinese-poetry-generation', 'https://github.com/forrestbing/multimodel-poetry-generation']"
aaai,17341,Memory Fusion Network for Multi-view Sequential Learning,['https://github.com/pliang279/MFN']
aaai,16051,Addressee and Response Selection in Multi-Party Conversations with Speaker Interaction RNNs,['https://github.com/ryanzhumich/sirnn']
aaai,16784,Asynchronous Bidirectional Decoding for Neural Machine Translation,"['https://github.com/DeepLearnXMU/ABD-NMT', 'https://github.com/ManzoorElahi/organic-chemistry-reaction-prediction-using-NMT']"
aaai,17308,A Multilayer Convolutional Encoder-Decoder Neural Network for Grammatical Error Correction,"['https://github.com/seaweiqing/neuraltalk_plus_charcnn', 'https://github.com/seaweiqing/image2story', 'https://github.com/nusnlp/mlconvgec2018']"
aaai,17226,A Question-Focused Multi-Factor Attention Network for Question Answering,['https://github.com/nusnlp/amanda']
aaai,16431,SkipFlow: Incorporating Neural Coherence Features for End-to-End Automatic Text Scoring,['https://github.com/SharonVarghese93/MAJORPROJ-IRE']
aaai,16728,Improving Review Representations with User Attention and Product Attention for Sentiment Classification,['https://github.com/wuzhen247/HUAPA']
aaai,16983,Variational Reasoning for Question Answering with Knowledge Graph,"['https://github.com/yuyuz/MetaQA', 'https://github.com/yuyuz/Variational-Reasoning-Networks']"
aaai,16302,Classical Planning in Deep Latent Space: Bridging the Subsymbolic-Symbolic Boundary,['https://github.com/guicho271828/latplan']
aaai,17207,Action Schema Networks: Generalised Policies with Deep Learning,['https://github.com/qxcv/asnets']
aaai,16233,RelNN: A Deep Neural Model for Relational Learning,['https://github.com/Mehran-k/RelNN']
aaai,16270,SEE: Towards Semi-Supervised End-to-End Scene Text Recognition,['https://github.com/Bartzi/see']
aaai,16114,Order-Free RNN with Visual Attention for Multi-Label Classification,['https://github.com/EricYangsw/Multi-Label-Classification']
aaai,17391,Using Syntax to Ground Referring Expressions in Natural Images,['https://github.com/volkancirik/groundnet']
aaai,16469,PixelLink: Detecting Scene Text via Instance Segmentation,"['https://github.com/opconty/pixellink_keras', 'https://github.com/mayank-git-hub/Text-Recognition', 'https://github.com/ZJULearning/pixel_link', 'https://github.com/Autonise-AI/Text-Recognition']"
aaai,16471,Learning Pose Grammar to Encode Human Body Configuration for 3D Pose Estimation,['https://github.com/Necrophagistfan/High-Dimesnional-Residual-Poseblock']
aaai,16465,Stack-Captioning: Coarse-to-Fine Learning for Image Captioning,"['https://github.com/pdaicode/ImageCaptioning', 'https://github.com/showkeyjar/chinese_im2text.pytorch']"
aaai,16666,Learning to Guide Decoding for Image Captioning,['https://github.com/HaleyPei/Learning-to-Guide-Decoding-for-Image-Captioning']
aaai,16530,Learning Efficient Point Cloud Generation for Dense 3D Object Reconstruction,"['https://github.com/chenhsuanlin/3D-point-cloud-generation', 'https://github.com/kingcheng2000/3D-point-cloud-generation']"
aaai,17135,Spatial Temporal Graph Convolutional Networks for Skeleton-Based Action Recognition,"['https://github.com/ZhangNYG/ST-GCN', 'https://github.com/ericksiavichay/cs230-final-project', 'https://github.com/GeyuanZhang/st-gcn-master', 'https://github.com/yysijie/st-gcn', 'https://github.com/yfsong0709/RA-GCNv1', 'https://github.com/1zgh/st-gcn', 'https://github.com/Hunkzer/stgcnaaai18', 'https://github.com/tdinzju/ksdsi', 'https://github.com/open-mmlab/mmskeleton']"
aaai,16395,Deep Reinforcement Learning for Unsupervised Video Summarization with Diversity-Representativeness Reward,"['https://github.com/KaiyangZhou/vsumm-reinforce', 'https://github.com/ymlwww/rlproject', 'https://github.com/KaiyangZhou/pytorch-vsumm-reinforce']"
aaai,17416,Conditional Linear Regression,['https://github.com/wumming/lud']
aaai,16238,Generative Adversarial Network for Abstractive Text Summarization,['https://github.com/iwangjian/textsum-gan']
aaai,16459,MAgent: A Many-Agent Reinforcement Learning Platform for Artificial Collective Intelligence,"['https://github.com/hjjimmykim/SchwabRoyale', 'https://github.com/geek-ai/MAgent', 'https://github.com/IngookJang/reinforcement-learning-TX2']"
aaai,3763,Outlier Aware Network Embedding for Attributed Networks,['https://github.com/sambaranban/ONE']
aaai,3764,Comparative Document Summarisation via Classification,['https://github.com/computationalmedia/compsumm']
aaai,3765,ColNet: Embedding the Semantics of Web Tables for Column Type Prediction,['https://github.com/alan-turing-institute/SemAIDA']
aaai,3789,DTMT: A Novel Deep Transition Architecture for Neural Machine Translation,['https://github.com/fandongmeng/DTMT_InDec']
aaai,3790,Multi-Perspective Relevance Matching with Hierarchical ConvNets for Social Media Search,['https://github.com/Jeffyrao/neural-tweet-search']
aaai,3791,Unsupervised Neural Machine Translation with SMT as Posterior Regularization,['https://github.com/Imagist-Shuo/UNMT-SPR']
aaai,3794,ATP: Directed Graph Embedding with Asymmetric Transitivity Preservation,['https://github.com/zhenv5/atp']
aaai,3797,DeepTileBars: Visualizing Term Distribution for Neural Information Retrieval,['https://github.com/smt-HS/DeepTileBars-release']
aaai,3834,CheXpert: A Large Chest Radiograph Dataset with Uncertainty Labels and Expert Comparison,"['https://github.com/simongrest/chexpert-entries', 'https://github.com/gaetandi/cheXpert', 'https://github.com/yichigo/Chest-X-Ray', 'https://github.com/stanfordmlgroup/chexpert-labeler', 'https://github.com/Disiok/chexpert-fusion']"
aaai,3842,Who Blames Whom in a Crisis? Detecting Blame Ties from News Articles Using Neural Networks,['https://github.com/Shuailong/BlamePipeline']
aaai,3843,Convex Formulations for Fair Principal Component Analysis,['https://github.com/molfat66/FairML']
aaai,3853,Knowledge Tracing Machines: Factorization Machines for Knowledge Tracing,['https://github.com/jilljenn/ktm']
aaai,3857,Zero Shot Learning for Code Education: Rubric Sampling with Deep Learning Inference,['https://github.com/mhw32/rubric-sampling-public']
aaai,3859,EnsNet: Ensconce Text in the Wild,['https://github.com/HCIILAB/Scene-Text-Removal']
aaai,3874,Synergistic Image and Feature Adaptation: Towards Cross-Modality Domain Adaptation for Medical Image Segmentation,['https://github.com/cchen-cc/SIFA']
aaai,3881,Attention Based Spatial-Temporal Graph Convolutional Networks for Traffic Flow Forecasting,['https://github.com/Davidham3/ASTGCN']
aaai,3896,Molecular Property Prediction: A Multilevel Quantum Interactions Modeling Perspective,['https://github.com/tencent-alchemy/Alchemy']
aaai,3899,Scalable Robust Kidney Exchange,['https://github.com/duncanmcelfresh/RobustKidneyExchange']
aaai,3903,NeVAE: A Deep Generative Model for Molecular Graphs,['https://github.com/Networks-Learning/nevae']
aaai,3905,GAMENet: Graph Augmented MEmory Networks for Recommending Medication Combination,['https://github.com/sjy1203/GAMENet']
aaai,3919,TET-GAN: Text Effects Transfer via Stylization and Destylization,['https://github.com/convexsetgithub/mytextgan']
aaai,3923,SAFE: A Neural Survival Analysis Model for Fraud Early Detection,['https://github.com/PanpanZheng/SAFE']
aaai,3924,One-Class Adversarial Nets for Fraud Detection,['https://github.com/PanpanZheng/OCAN']
aaai,3938,Deep Bayesian Optimization on Attributed Graphs,['https://github.com/csjtx1021/DGBO']
aaai,3942,A Deep Neural Network for Unsupervised Anomaly Detection and Diagnosis in Multivariate Time Series Data,"['https://github.com/albertwujj/MSCRED', 'https://github.com/KONI-SZ/MSCRED']"
aaai,3964,Abduction-Based Explanations for Machine Learning Models,['https://github.com/alexeyignatiev/xplainer']
aaai,3991,Regular Boardgames,"['https://github.com/marekesz/rbg1.0', 'https://github.com/marekesz/rbg']"
aaai,4061,Distributionally Adversarial Attack,['https://github.com/tianzheng4/Distributionally-Adversarial-Attack']
aaai,4076,Stepping Stones to Inductive Synthesis of Low-Level Looping Programs,['https://github.com/ChristopherRosin/MAKESPEARE']
aaai,4101,Interactive Semantic Parsing for If-Then Recipes via Hierarchical Reinforcement Learning,['https://github.com/LittleYUYU/Interactive-Semantic-Parsing']
aaai,4105,Human Motion Prediction via Learning Local Structure Representations and Temporal Dependencies,['https://github.com/CHELSEA234/SkelNet_motion_prediction']
aaai,4154,Less but Better: Generalization Enhancement of Ordinal Embedding via Distributional Margin,['https://github.com/alphaprime/DMOE']
aaai,4161,Efficient Concept Induction for Description Logics,['https://github.com/md-k-sarker/ecii-expr']
aaai,4162,An Open-World Extension to Knowledge Graph Completion Models,['https://github.com/haseebs/OWE']
aaai,4165,Amalgamating Knowledge towards Comprehensive Classification,['https://github.com/zju-vipa/KamalEngine']
aaai,4182,Character-Level Language Modeling with Deeper Self-Attention,['https://github.com/threelittlemonkeys/transformer-pytorch']
aaai,4185,Hyperprior Induced Unsupervised Disentanglement of Latent Representations,"['https://github.com/crslab/correlated-ellipses', 'https://github.com/crslab/CHyVAE']"
aaai,4193,CNN-Cert: An Efficient Framework for Certifying Robustness of Convolutional Neural Networks,['https://github.com/AkhilanB/CNN-Cert']
aaai,4213,End-to-End Safe Reinforcement Learning through Barrier Functions for Safety-Critical Continuous Control Tasks,['https://github.com/rcheng805/RL-CBF']
aaai,4214,Utilizing Class Information for Deep Network Representation Shaping,['https://github.com/snu-adsl/class_wise_regularizer']
aaai,4240,Fully Convolutional Network with Multi-Step Reinforcement Learning for Image Processing,['https://github.com/rfuruta/pixelRL']
aaai,4264,Knowledge Transfer via Distillation of Activation Boundaries Formed by Hidden Neurons,['https://github.com/bhheo/AB_distillation']
aaai,4291,Fast Incremental SVDD Learning Algorithm with the Gaussian Kernel,['https://github.com/hs-jiang/FISVDD']
aaai,4301,Similarity Learning via Kernel Preserving Embedding,['https://github.com/sckangz/SLKE']
aaai,4307,On-Line Learning of Linear Dynamical Systems: Exponential Forgetting in Kalman Filters,['https://github.com/jmarecek/OnlineLDS']
aaai,4318,Understanding Learned Models by Identifying Important Features at the Right Resolution,['https://github.com/Craven-Biostat-Lab/mihifepe']
aaai,4324,From Zero-Shot Learning to Cold-Start Recommendation,['https://github.com/lijin118/LLAE']
aaai,4336,Learning Logistic Circuits,['https://github.com/UCLA-StarAI/LogisticCircuit']
aaai,4362,Bias-Variance Trade-Off in Hierarchical Probabilistic Models Using Higher-Order Feature Interactions,['https://github.com/sjmluo/HBM']
aaai,4395,Adversarial Dropout for Recurrent Neural Networks,"['https://github.com/sungraepark/adversarial_dropout_text_classification', 'https://github.com/sungraepark/AdvDrop-sMNIST']"
aaai,4403,Training Complex Models with Multi-Task Weak Supervision,['https://github.com/HazyResearch/metal']
aaai,4405,Regularized Evolution for Image Classifier Architecture Search,"['https://github.com/CiscoAI/amla', 'https://github.com/ianwhale/nsga-net']"
aaai,4407,Deep Recurrent Survival Analysis,['https://github.com/rk2900/drsa']
aaai,4409,Devil in the Details: Towards Accurate Single and Multiple Human Parsing,"['https://github.com/liutinglt/CE2P', 'https://github.com/Liuyixuan95/DORN']"
aaai,4417,MEAL: Multi-Model Ensemble via Adversarial Learning,['https://github.com/AaronHeee/MEAL']
aaai,4424,Sensitivity Analysis of Deep Neural Networks,['https://github.com/shu-hai/SA_DNN']
aaai,4426,Unsupervised Transfer Learning for Spoken Language Understanding in Intelligent Agents,['https://github.com/sxjscience/GluonNLP-Slot-Filling']
aaai,4430,Diversity-Driven Extensible Hierarchical Reinforcement Learning,['https://github.com/YuhangSong/DEHRL']
aaai,4453,Learning Triggers for Heterogeneous Treatment Effects,['https://github.com/chris-tran-16/CTL']
aaai,4977,Automatic Bayesian Density Analysis,['https://github.com/probabilistic-learning/abda']
aaai,4466,HyperAdam: A Learnable Task-Adaptive Adam for Network Training,['https://github.com/ShipengWang/HyperAdam-Tensorflow']
aaai,4470,Explainable Reasoning over Knowledge Graphs for Recommendation,['https://github.com/BaeSeulki/WhySoMuch']
aaai,4474,Deep Metric Learning by Online Soft Mining and Class-Aware Attention,"['https://github.com/ppriyank/-Online-Soft-Mining-and-Class-Aware-Attention-Pytorch', 'https://github.com/XinshaoAmosWang/Deep-Metric-Embedding']"
aaai,4511,Revisiting Spatial-Temporal Similarity: A Deep Learning Framework for Traffic Prediction,"['https://github.com/tpepin96/NYCDatasetProcessing', 'https://github.com/tangxianfeng/STDN', 'https://github.com/zzwells/jdd2018-population-forecast']"
aaai,4515,Network Recasting: A Universal Method for Network Architecture Transformation,['https://github.com/joonsang-yu/Network-Recasting']
aaai,4522,RecurJac: An Efficient Recursive Algorithm for Bounding Jacobian Matrix of Neural Networks and Its Applications,"['https://github.com/huanzhang12/RecurJac-and-CROWN', 'https://github.com/huanzhang12/RecurJac', 'https://github.com/huanzhang12/RecurJac-Jacobian-Bounds']"
aaai,4526,ACE: An Actor Ensemble Algorithm for Continuous Control with Tree Search,['https://github.com/ShangtongZhang/DeepRL']
