author_name,neurips_2019_affil
Vahid Tarokh,Duke University
Zhe Wang,Ohio State University
Kaiyi Ji,The Ohio State University
Yi Zhou,IBM Almaden Research Center
Yingbin Liang,The Ohio State University
Xiyang Liu,University of Washington
Sewoong Oh,University of Washington
Ayan Chakrabarti,Washington University in St. Louis
Benjamin Moseley,Carnegie Mellon University
Zhihao Xia,Washington University in St. Louis
Lisha Chen,Rensselaer Polytechnic Institute
Hui Su,IBM
Qiang Ji,Rensselaer Polytechnic Institute
Xiuyuan Lu,Stanford University
Benjamin Van Roy,Stanford University
Atsutoshi Kumagai,NTT
Tomoharu Iwata,NTT
Huaian Diao,Northeast Normal University
David Woodruff,Carnegie Mellon University
Xin Yang,University of Washington
Hongzi Mao,MIT
Parimarjan Negi,MIT CSAIL
Akshay Narayan,MIT CSAIL
Hanrui Wang,Massachusetts Institute of Technology
Jiacheng Yang,MIT CSAIL
Haonan Wang,MIT CSAIL
Ryan Marcus,MIT CSAIL
ravichandra addanki,Massachusetts Institute of Technology
Mehrdad Khani Shirkoohi,MIT
Songtao He,Massachusetts Institute of Technology
Vikram Nathan,MIT
Frank Cangialosi,MIT CSAIL
Shaileshh Venkatakrishnan,MIT
Wei-Hung Weng,MIT
Tim Kraska,MIT
Dr.Mohammad Alizadeh,Massachusetts institute of technology
Claudia Shi,Columbia University
Victor Veitch,Columbia University
Hanjun Dai,Georgia Institute of Technology
Yujia Li,DeepMind
Chenglong Wang,University of Washington
Rishabh Singh,Google Brain
Po-Sen Huang,DeepMind
Pushmeet Kohli,DeepMind
Rina Foygel Barber,University of Chicago
Emmanuel Candes,Stanford University
Aaditya Ramdas,Carnegie Mellon University
Ryan Tibshirani,Carnegie Mellon University
Chen Dan,Carnegie Mellon University
Hong Wang,Massachusetts Institute of Technology
Yuchen Zhou,"University of Wisconsin, Madison"
Pradeep Ravikumar,Carnegie Mellon University
Haowei He,Tsinghua University
Gao Huang,Tsinghua
Yang Yuan,Cornell University
Yixing Xu,Huawei Noah's Ark Lab
Yunhe Wang,Huawei Noah's Ark Lab
Jia Zeng,Huawei Noah's Ark Lab
Kai Han,Huawei Noah's Ark Lab
Chunjing XU,Huawei Technologies
Chang Xu,University of Sydney
Boxin Zhao,UChicago
Y. Samuel Wang,U of Chicago
Mladen Kolar,University of Chicago
Chenri Ni,The University of Tokyo
Nontawat Charoenphakdee,The University of Tokyo / RIKEN
Junya Honda,The Univerisity of Tokyo / RIKEN
Masashi Sugiyama,RIKEN / University of Tokyo
Pratyusha Sharma,Carnegie Mellon University/MIT
Abhinav Gupta,Facebook AI Research/CMU
Zhuoning Yuan,University of Iowa
Yan Yan,the University of Iowa
Tianbao Yang,The University of Iowa
Takuya Hiraoka,NEC / AIST / RIKEN-AIP
Takahisa Imagawa,National Institute of Advanced Industrial Science and Technology
Tatsuya Mori,"NEC, AIST, RIKEN-AIP"
Takashi Onishi,NEC / AIST
Yoshimasa Tsuruoka,The University of Tokyo
Yi Xu,University of Iowa
Lili Su,MIT
Pengkun Yang,Princeton University
Fuwen Tan,University of Virginia
Paola Cascante-Bonilla,University of Virginia
Xiaoxiao Guo,IBM Research
Hui Wu,Tsinghua University
Song Feng,IBM Research
Vicente Ordonez,University of Virginia
JIELIN QIU,Shanghai Jiao Tong University
Ge Huang,Carnegie Mellon University
Tai Sing Lee,Carnegie Mellon University
Chaoyou Fu,"Institute of Automation, Chinese Academy of Sciences"
Xiang Wu,ByteDance
Yibo Hu,"Institute of Automation, Chinese Academy of Sciences"
Huaibo Huang,"Institute of Automation, Chinese Academy of Science"
Ran He,"NLPR, CASIA"
Mitchell Wortsman,"University of Washington, Allen Institute for Artificial Intelligence"
Ali Farhadi,"University of Washington, Allen Institute for Artificial Intelligence"
Mohammad Rastegari,XNOR.AI- AI2
Baekjin Kim,University of Michigan
Ambuj Tewari,University of Michigan
Jaemin Yoo,Seoul National University
Minyong Cho,Seoul National University
Taebum Kim,Seoul National University
U Kang,Seoul National University
Matthew Holland,Osaka University
Ting-I Hsieh,National Tsing Hua University
Yi-Chen Lo,National Tsing Hua University
Hwann-Tzong Chen,National Tsing Hua University
Tyng-Luh Liu,Academia Sinica
SHUAI ZHANG,University of New South Wales
Yi Tay,Nanyang Technological University
Lina Yao,UNSW
Qi Liu,University of Oxford
Yuxian Meng,Shannon.AI
Wei Wu,Shannon.AI
Fei Wang,Shannon.AI
Xiaoya Li,Shannon.AI
Ping Nie,Shannon.AI
Fan Yin,Shannon.AI
Muyu Li,Shannon.AI
Qinghong  Han,Shannon.AI
Jiwei Li,Shannon.AI
Yihan Jiang,University of Washington Seattle
Hyeji Kim,Samsung AI Center Cambridge
Himanshu Asnani,"University of Washington, Seattle"
Sreeram Kannan,University of Washington
Pramod Viswanath,UIUC
Weijiang Yu,Sun Yat-sen University
Jingwen Zhou,Sun Yat-sen University
Weihao Yu,Sun Yat-sen University
Xiaodan Liang,Sun Yat-sen University
Nong Xiao,Sun Yat-sen University
Enrique Fita Sanmartin,Heidelberg University
Sebastian Damrich,Heidelberg University
Fred Hamprecht,Heidelberg University
Sascha Saralajew,Dr. Ing. h.c. Porsche AG
Lars Holdijk,Radboud University Nijmegen
Maike Rees,Dr. Ing. h.c. F. Porsche AG
Ebubekir Asan,Dr. Ing. h.c. F. Porsche AG
Thomas Villmann,University of Applied Sciences Mittweida
Santtu Tikka,University of Jyväskylä
Antti Hyttinen,University of Helsinki
Juha Karvanen,University of Jyvaskyla
Wang-Zhou Dai,Imperial College London
Qiuling Xu,Purdue University
Yang Yu,Nanjing University
Zhi-Hua Zhou,Nanjing University
Zihan Zhang,Fudan University
Xiangyang Ji,Tsinghua University
Belhal Karimi,Ecole Polytechnique
Hoi-To Wai,The Chinese University of Hong Kong
Eric Moulines,Ecole Polytechnique
Marc Lavielle,Inria & Ecole Polytechnique
Sulaiman Alghunaim,UCLA
Kun Yuan,Alibaba Inc.
Ali H Sayed,Ecole Polytechnique Fédérale de Lausanne
Rinu Boney,Aalto University
Norman Di Palo,-
Mathias Berglund,Curious AI
Alexander Ilin,Aalto University
Juho Kannala,Aalto University
Antti Rasmus,The Curious AI Company
Harri Valpola,Curious AI
Alexej Klushyn,Volkswagen Group
Nutan Chen,Volkswagen Group
Richard Kurle,Volkswagen Group
Botond Cseke,Volkswagen Group
Patrick van der Smagt,Volkswagen Group
Sivan Sabato,Ben-Gurion University of the Negev
Matteo Turchetta,ETH Zurich
Felix Berkenkamp,ETH Zurich
Andreas Krause,ETH Zurich
Charles Corbière,Valeo.ai / CNAM
Nicolas THOME,Cnam (Conservatoire national des arts et métiers)
Avner Bar-Hen,"CNAM, Paris"
Changyong Oh,University of Amsterdam
Jakub Tomczak,Qualcomm AI Research
Efstratios Gavves,University of Amsterdam
Juyeon Heo,Sungkyunkwan University
Sunghwan Joo,Sungkyunkwan University
Taesup Moon,Sungkyunkwan University (SKKU)
Lénaïc Chizat,CNRS
Edouard Oyallon,CentraleSupelec
KANCHARLA PARIMALA,"Indian Institute of Technology, Hyderabad"
Sumohana Channappayya,Indian Institute of Technology Hyderabad
Marcel Hirt,University College London
Petros Dellaportas,"University College London, Athens University of Economics and Alan Turing Institute"
Tomas Vaskevicius,University of Oxford
Varun Kanade,University of Oxford
Matthew Joseph,University of Pennsylvania
Janardhan Kulkarni,"MSR, Redmond"
Jieming Mao,Google Research
Xiaoming Yu,Peking University
Yuanqi Chen,"SECE, Peking University"
Shan Liu,Tencent
Thomas Li,"Shenzhen Graduate School, Peking University"
Ge Li,Peking University
Yusuke Tanaka,NTT
Toshiyuki Tanaka,Kyoto University
Takeshi Kurashima,NTT Corporation
Maya Okawa,NTT
Yasunori Akagi,"NTT Service Evolution Laboratories, NTT Corporation"
Hiroyuki Toda,"NTT Service Evolution Laboratories, NTT Corporation, Japan"
Zhiqing Sun,Carnegie Mellon University
Zhuohan Li,UC Berkeley
Haoqing Wang,Peking University
Di He,Peking University
Zi Lin,Peking University
Zhihong Deng,Peking University
Gedas Bertasius,Facebook Research
Christoph Feichtenhofer,Facebook AI Research
Du Tran,Facebook AI
Jianbo Shi,University of Pennsylvania
Lorenzo Torresani,Facebook
Sindy Löwe,University of Amsterdam
Peter O'Connor,Brain Corporation
Bastiaan Veeling,AMLab - University of Amsterdam
Hongteng Xu,Infinia ML and Duke University
Dixin Luo,Duke University
Satoshi Tsutsui,Indiana University
Yanwei Fu,"Fudan University, Shanghai;"
David Crandall,Indiana University
Simon Ramstedt,Mila
Chris Pal,"MILA, Polytechnique Montréal, Element AI"
Alexander Peysakhovich,Facebook
Christian Kroer,Columbia University
Adam Lerer,Facebook AI Research
Mohammad Emtiyaz Khan,RIKEN
Alexander Immer,"EPFL, RIKEN"
Ehsan Abedi,EPFL
Maciej Korzepa,Technical University of Denmark
Patrick Kidger,University of Oxford
Patric Bonnier,University of Oxford
Imanol Perez Arribas,University of Oxford
Cristopher Salvi,University of Oxford
Terry Lyons,University of Oxford
Yogev Bar-On,Tel-Aviv University
Ming Yu,"The University of Chicago, Booth School of Business"
Zhuoran Yang,Princeton University
Zhaoran Wang,Northwestern University
Emilien Dupont,Oxford University
Arnaud Doucet,Oxford
Yee Whye Teh,"University of Oxford, DeepMind"
Min-hwan Oh,Columbia University
Garud Iyengar,Columbia
Wei Wang,EPFL
Zheng Dang,Xi'an Jiaotong University
Yinlin Hu,EPFL
Pascal Fua,"EPFL, Switzerland"
Mathieu Salzmann,EPFL
Yi Ren,Zhejiang University
Yangjun Ruan,Zhejiang University
Xu Tan,Microsoft Research
Tao Qin,Microsoft Research
Sheng Zhao,Microsoft
Zhou Zhao,Zhejiang University
Tie-Yan Liu,Microsoft Research
Giovanni Chierchia,ESIEE Paris
Benjamin Perret,ESIEE/PARIS
Hanrui Zhang,Duke University
Yu Cheng,Duke University
Vincent Conitzer,Duke University
Yan Zhang,University of Southampton
Jonathon Hare,University of Southampton
Adam Prugel-Bennett,apb@ecs.soton.ac.uk
Zelda Mariet,MIT
Yaniv Ovadia,Princeton University
Jasper Snoek,Google Brain
Sai Qian Zhang,Harvard University
Qi  Zhang,Amazon
Jieyu Lin,University of Toronto
Ya-Chien Chang,"University of California, San Diego"
Nima Roohi,University of California San Diego
Sicun Gao,"University of California, San Diego"
Vincent Cohen-Addad,CNRS & Sorbonne Université
Niklas Oskar D Hjuler,University of Copenhagen
Nikos Parotsidis,University of Copenhagen
David Saulpic,Ecole normale supérieure
Chris Schwiegelshohn,"Sapienza, University of Rome"
Alex Wang,New York University
Yada Pruksachatkun,New York University
Nikita Nangia,NYU
Amanpreet Singh,Facebook
Julian Michael,University of Washington
Felix Hill,Google Deepmind
Omer Levy,Facebook
Samuel Bowman,New York University
Jiaqi Ma,University of Michigan
Weijing Tang,University of Michigan
Ji Zhu,University of Michigan
Qiaozhu Mei,University of Michigan
Georgios Detorakis,"University of California, Irvine"
Sourav Dutta,Univ. Notre Dame
 Abhishek Khanna,Univ. Notre Dame
Matthew Jerry,Univ. Notre Dame
Suman Datta,Univ. Notre Dame
Emre Neftci,UC Irvine
Su Jia,CMU
viswanath  nagarajan,"Univ Michigan, Ann Arbor"
Fatemeh Navidi,University of Michigan
R Ravi,CMU
Eunbyung Park,UNC Chapel Hill / Nuro
Junier Oliva,UNC - Chapel Hill
Nathan Kallus,Cornell University
Masatoshi Uehara,Harvard University
Zhen Zhang,WASHINGTON UNIVERSITY IN ST.LOUIS
Yijian Xiang,Washington University in St. Louis
Lingfei Wu,IBM Research AI
Bing Xue,Washington University in St. Louis
Arye Nehorai,WASHINGTON UNIVERSITY IN ST.LOUIS
Maithra Raghu,Cornell University and Google Brain
Chiyuan Zhang,Google Brain
Jon Kleinberg,Cornell University
Samy Bengio,"Google Research, Brain Team"
Ali Shafahi,University of Maryland
Mahyar Najibi,University of Maryland
Mohammad Amin Ghiasi,University of Maryland
Zheng Xu,Google AI
John Dickerson,University of Maryland
Christoph Studer,Cornell University
Larry Davis,University of Maryland
Gavin Taylor,US Naval Academy
Tom Goldstein,University of Maryland
Jun Sun,Zhejiang University
Tianyi Chen,Rensselaer Polytechnic Institute
Georgios Giannakis,University of Minnesota
Zaiyue  Yang,Southern University of Science and Technology
Vaishak Belle,University of Edinburgh & Alan Turing Institute
Brendan Juba,Washington University in St. Louis
Kevin Liang,Duke University
Yitong Li,Duke University
Yongkai Wu,University of Arkanasa
Lu Zhang,University of Arkansas
Xintao Wu,University of Arkansas
Hanghang Tong,University of Illinois at Urbana-Champaign
Jianchun Chen,New York University
Lingjing Wang,New York University
Xiang Li,Peking University
Yi Fang,New York University
Angela Zhou,Cornell University
Sharon Zhou,Stanford University
Mitchell Gordon,Stanford University
Ranjay Krishna,Stanford University
Austin Narcomey,Stanford University
Michael Bernstein,Stanford University
Pierre Bellec,Rutgers
Arun Kuchibhotla,Wharton Statistics
Jacob Imola,UCSD
Ashwin Machanavajjhala,Duke
Trevor Campbell,UBC
Xinglong Li,The University of British Columbia
Dimitris Kalimeris,Harvard
Gal Kaplun,Harvard University
Preetum Nakkiran,Harvard
Benjamin Edelman,Harvard University
Tristan Yang,Harvard University
Boaz Barak,Harvard University
Haofeng Zhang,Harvard University
Shuang Li,Colorado School of Mines
Gongguo Tang,Colorado School of Mines
Michael B Wakin,Colorado School of Mines
Antonio Ginart,Stanford University
Melody Guan,Stanford University
Gregory Valiant,Stanford University
James Zou,Stanford University
David Durfee,Georgia Tech
Ryan Rogers,LinkedIn
Yaniv Romano,Stanford University
Evan Patterson,Stanford University
Seungki Min,Columbia Business School
Costis Maglaras,Columbia Business School
Ciamac C Moallemi,Columbia University
Andrew Bennett,Cornell University
Tobias Schnabel,Microsoft Research
Ben Lengerich,Carnegie Mellon University
Bryon Aragam,Carnegie Mellon University
Eric Xing,Petuum Inc. /  Carnegie Mellon University
Hsin-Ying Lee,"University of California, Merced"
Xiaodong Yang,QCraft
Ming-Yu Liu,Nvidia Research
Ting-Chun Wang,NVIDIA
Yu-Ding Lu,UC Merced
Hattie Zhou,Uber
Janice Lan,Uber AI
Rosanne Liu,Uber AI Labs
Jason Yosinski,Uber AI; Recursion
Yilun Du,MIT
Igor Mordatch,OpenAI
Christopher Thomas,University of Pittsburgh
Adriana Kovashka,University of Pittsburgh
Lingyu Liang,South China University of Technology
LianWen Jin,South China University of Technology
Yong Xu,South China University of Technology
Tavor Baharav,Stanford University
David Tse,Stanford University
PHUONG_HA NGUYEN,University of Connecticut (UCONN)
Lam Nguyen,"IBM Research, Thomas J. Watson Research Center"
Marten van Dijk,University of Connecticut
Edgar Dobriban,University of Pennsylvania
Sifan Liu,Stanford University
Xue Bin Peng,UC Berkeley
Michael Chang,"University of California, Berkeley"
Grace Zhang,UC Berkeley
Pieter Abbeel,UC Berkeley & covariant.ai
Kevin Bello,Purdue University
Jean Honorio,Purdue University
Cheng Fu,"University of California, San Diego"
Huili Chen,UCSD
Haolan Liu,UCSD
Xinyun Chen,UC Berkeley
Yuandong Tian,Facebook AI Research
Farinaz Koushanfar,UCSD
Jishen Zhao,UCSD
Gunpil Hwang,KAIST
Seohyeon Kim,KAIST
Hyeon-Min Bae,KAIST
Sharan Vaswani,"Mila, Université de Montréal"
Aaron Mishkin,University of British Columbia
Issam Laradji,University of British Columbia
Mark Schmidt,University of British Columbia
Dominik Linzner,Technische Universität Darmstadt
Michael Schmidt,TU Darmstadt
Heinz Koeppl,Technische Universität Darmstadt
Devin Reich,University of Washington Tacoma
Ariel Todoki,University of Washington Tacoma
Rafael Dowsley,Bar-Ilan University
Martine De Cock,University of Washington Tacoma
anderson nascimento,UW
Adam Sealfon,UC Berkeley
Qianli Ma,South China University of Technology
Jiawei Zheng,South China University of Technology
Sen Li,South China University of Technology
Gary W Cottrell,UCSD
Ananya Kumar,Stanford University
Percy Liang,Stanford University
Wenhao Zhang,Carnegie Mellon & U. of Pittsburgh
Si Wu,Peking University
Brent Doiron,University of Pittsburgh
Yunji Kim,Yonsei University
Seonghyeon Nam,Yonsei University
In Cho,Yonsei University
Seon Joo Kim,Yonsei University / Facebook
Ziang Yan,Tsinghua University
Changshui Zhang,Tsinghua University
Pan Xu,"University of California, Los Angeles"
Qitian Wu,Shanghai Jiao Tong University
Zixuan Zhang,Shanghai Jiao Tong University
Xiaofeng Gao,Shanghai Jiao Tong University
Junchi Yan,Shanghai Jiao Tong University
Guihai Chen,Shanghai Jiao Tong University
Xing Yan,City University of Hong Kong
Qi Wu,City University of Hong Kong
Wen Zhang,JD Finance
Yujia Jin,Stanford University
Aaron Sidford,Stanford
Jonathan Ho,UC Berkeley
Evan Lohn,"University of California, Berkeley"
Rob Brekelmans,University of Southern Caifornia
Daniel Moyer,USC Information Sciences Institute
Aram Galstyan,USC Information Sciences Institute
Greg Ver Steeg,USC Information Sciences Institute
Qianqian Xu,"Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences"
Xinwei Sun,MSRA
Zhiyong Yang,"SKLOIS, Institute of Information Engineering, Chinese Academy of Sciences; SCS, University of Chinese Academy of Sciences"
Xiaochun Cao,"Institute of Information Engineering, Chinese Academy of Sciences"
Qingming Huang,University of Chinese Academy of Sciences
Yuan Yao,Hong Kong Univ. of Science & Technology
Aleksis Pirinen,Lund University
Erik Gärtner,Lund University
Cristian Sminchisescu,Google Research
Shangyu Chen,"Nanyang Technological University, Singapore"
Wenya Wang,Nanyang Technological University
Sinno Jialin Pan,"Nanyang Technological University, Singapore"
Tuomas Kynkäänniemi,NVIDIA; Aalto University
Tero Karras,NVIDIA
Samuli Laine,NVIDIA
Jaakko Lehtinen,NVIDIA Research; Aalto University
Timo Aila,NVIDIA
JIAJIN LI,The Chinese University of Hong Kong
SEN HUANG,The Chinese University of Hong Kong
Anthony Man-Cho So,CUHK
Yikang LI,The Chinese University of Hong Kong; Sensetime
Tao Ma,Northwestern Polytechnical University
Yeqi Bai,Nanyang Technological University
Sining Wei,Microsoft Research
Quentin Bertrand,INRIA
Mathurin Massias,Inria
Alexandre Gramfort,INRIA
Joseph Salmon,Université de Montpellier
Han Zhu,Alibaba Group
Daqing Chang,Alibaba Group
Ziru Xu,Alibaba Group
Pengye Zhang,Alibaba Group
Jie He,Alibaba Group
Han Li,Alibaba Group
Jian Xu,Alibaba Group
Kun Gai,Alibaba Group
Shaileshh Bojja Venkatakrishnan,Massachusetts Institute of Technology
Shreyan Gupta,MIT
Mohammad Alizadeh,Massachusetts Institute of Technology
Ritsugen Jo,UCL
Gang Niu,RIKEN
Ruibing Hou,Institute of Computing Technology，Chinese Academy
Hong Chang,"Institute of Computing Technology, Chinese Academy of Sciences"
Bingpeng MA,University of Chinese Academy of Sciences
Qing Qu,New York University
Xiao Li,"University of California, Berkeley"
Zhihui Zhu,Johns Hopkins University
Linfeng Zhang,Tsinghua University
Zhanhong Tan,Tsinghua University
Jiebo Song,Institute for Interdisciplinary Information Core Technology
Jingwei Chen,Tsinghua University
Chenglong Bao,Tsinghua university
Kaisheng Ma,Tsinghua University
Lorenzo Dall'Amico,GIPSA lab
Romain Couillet,CentralSupélec
Nicolas Tremblay,CNRS
Anette Hunziker,ETH Zurich
Oisin Mac Aodha,California Institute of Technology
Manuel Gomez Rodriguez,Max Planck Institute for Software Systems
Pietro Perona,California Institute of Technology
Yisong Yue,Caltech
Adish Singla,MPI-SWS
Frank Ban,UC Berkeley / Google
Richard Zhang,UC Berkeley
Paul Rubenstein,MPI for IS
Olivier Bousquet,Google Brain (Zurich)
Josip Djolonga,"Google Research, Brain Team"
Carlos Riquelme,Google Brain
Ilya Tolstikhin,MPI for Intelligent Systems
Ryoma Sato,Kyoto University
Tianbo Li,Nanyang Technological University
Yiping Ke,Nanyang Technological University
Maxim Kuznetsov,Insilico Medicine
Daniil Polykovskiy,Insilico Medicine
Alex Zhebrak,Insilico Medicine
Mikko Heikkilä,University of Helsinki
Joonas Jälkö,Aalto University
Onur Dikmen,Halmstad University
Antti Honkela,University of Helsinki
Suraj Srinivas,Idiap Research Institute & EPFL
Iordanis Kerenidis,Université Paris Diderot
Jonas Landman,Université Paris Diderot
Alessandro Luongo,Institut de Recherche en Informatique Fondamentale
Anupam Prakash,Université Paris Diderot
Sebastian Tschiatschek,Microsoft Research
Ahana Ghosh,MPI-SWS
Luis Haug,ETH Zurich
Rati Devidze,MPI-SWS
Frederik Kunstner,EPFL
Philipp Hennig,University of Tübingen and MPI for Intelligent Systems Tübingen
Lukas Balles,University of Tuebingen
Ruho Kondo,"Toyota Central R&D Labs., Inc."
Keisuke Kawano,"Toyota Central R&D Labs., Inc"
Satoshi Koide,Toyota Central R&D Labs.
Takuro Kutsuna,Toyota Central R&D Labs. Inc.
Alhussein Fawzi,DeepMind
Mateusz Malinowski,DeepMind
Hamza Fawzi,University of Cambridge
Omar Fawzi,ENS Lyon
Vincent LE GUEN,"CNAM, Paris, France"
Boris Knyazev,University of Guelph
Graham W Taylor,University of Guelph
Mohamed Amer,RobustAI
Satoshi Hara,Osaka University
Atsushi Nitanda,The University of Tokyo / RIKEN
Takanori Maehara,RIKEN AIP
Shuo Chen,Nanjing University of Science and Technology
Lei Luo,Pitt
Jian Yang,Nanjing University of Science and Technology
Chen Gong,Nanjing University of Science and Technology
Jun Li,MIT
Heng Huang,University of Pittsburgh
Xie Yaqi,National University of Singapore
Ziwei Xu,National University of Singapore
Kuldeep S Meel,National University of Singapore
Mohan Kankanhalli,"National University of Singapore,"
Harold Soh,National University of Singapore (NUS)
Raanan Yehezkel Rohekar,Intel AI Lab
Yaniv Gurwicz,Intel AI Lab
Shami Nisimov,Intel AI Lab
Gal Novik,Intel AI Lab
Renjie Liao,University of Toronto
Yang Song,Stanford University
Shenlong Wang,University of Toronto
Will Hamilton,McGill
David Duvenaud,University of Toronto
Raquel Urtasun,Uber ATG
Richard Zemel,Vector Institute/University of Toronto
Mahesh Chandra Mukkamala,Saarland University
Peter Ochs,Saarland University
Heliang Zheng,University of Science and Technology of China
Jianlong Fu,Microsoft Research
Zheng-Jun Zha,University of Science and Technology of China
Jiebo Luo,U. Rochester
Kazuki Osawa,Tokyo Institute of Technology
Siddharth Swaroop,University of Cambridge
Anirudh Jain,"Indian Institute of Technology (ISM), Dhanbad"
Runa Eschenhagen,University of Osnabrueck
Richard E Turner,University of Cambridge
Rio Yokota,"Tokyo Institute of Technology, AIST- Tokyo Tech Real World Big-Data Computation Open Innovation Laboratory (RWBC- OIL), National Institute of Advanced Industrial Science and Technology (AIST)"
Cyprien de Masson d'Autume,Google DeepMind
Shakir Mohamed,DeepMind
Mihaela Rosca,Google DeepMind
Jack Rae,"DeepMind, UCL"
Christopher Nemeth,Lancaster University
Fredrik Lindsten,Linköping University
Maurizio Filippone,EURECOM
James Hensman,PROWLER.io
James Jordon,University of Oxford
Jinsung Yoon,"University of California, Los Angeles"
Alberto Maria Metelli,Politecnico di Milano
Amarildo Likmeta,Politecnico di Milano
Marcello Restelli,Politecnico di Milano
Christopher Beckham,Mila
Sina Honari,"Mila, EPFL"
Alex Lamb,UMontreal (MILA)
Vikas Verma,Aalto University
Farnoosh Ghadiri,École Polytechnique de Montréal
R Devon Hjelm,Microsoft Research
Yoshua Bengio,Mila
Marc Bellemare,Google Brain
Will Dabney,DeepMind
Robert Dadashi,Google Brain
Adrien Ali Taiga,Google
Pablo Samuel Castro,Google
Nicolas Le Roux,Google Brain
Dale Schuurmans,Google Inc.
Tor Lattimore,DeepMind
Clare Lyle,University of Oxford
Joshua Lee,MIT
Prasanna Sattigeri,IBM Research
Gregory Wornell,MIT
Jingjing Xu,Peking University
Xu Sun,Peking University
Zhiyuan Zhang,Peking University
Guangxiang Zhao,Peking University
Junyang Lin,Alibaba Group
Hongjoon Ahn,Sunkyunkwan University
Donggyu Lee,Sungkyunkwan university
Sungmin Cha,Sungkyunkwan University
Yali Du,University of Technology Sydney
Lei Han,Rutgers University
Meng Fang,Tencent
Tianhong Dai,Imperial College London
Mathias Perslev,University of Copenhagen
Michael Jensen,University of Copehagen
Sune Darkner,"University of Copenhagen, Denmark"
Poul Jørgen Jennum,"Danish Center for Sleep Medicine, Rigshospitalet"
Christian Igel,University of Copenhagen
Jason Altschuler,MIT
Alessandro Rudi,"INRIA, Ecole Normale Superieure"
Jonathan Niles-Weed,NYU
Yue Yu,Tsinghua University
Jiaxiang Wu,Tencent AI Lab
Longbo Huang,"IIIS, Tsinghua Univeristy"
Arash Amini,UCLA
Qing Zhou,UCLA
Ivana Balazevic,University of Edinburgh
Carl Allen,University of Edinburgh
Timothy Hospedales,University of Edinburgh
Philip Paquette,Université de Montréal - MILA
Yuchen Lu,University of Montreal
SETON STEVEN BOCCO,MILA
Max Smith,University of Michigan
Satya O.-G.,MILA
Jonathan K. Kummerfeld,University of Michigan
Joelle Pineau,Facebook
Satinder Singh,DeepMind
Aaron Courville,U. Montreal
Yaqi Duan,Princeton University
Tracy Ke,Harvard University
Mengdi Wang,Princeton University
Charles Marx,Haverford College
Richard Phillips,Cornell University
Sorelle Friedler,Haverford College
Carlos  Scheidegger,The University of Arizona
Suresh Venkatasubramanian,University of Utah
David Janz,University of Cambridge
Jiri Hron,University of Cambridge
Przemysław Mazur,Wayve
José Miguel Hernández-Lobato,University of Cambridge
Théo Ryffel,"ENS, CNRS, PSL University, INRIA Paris"
David Pointcheval,École Normale Supérieure
Edouard Dufour-Sans,Carnegie Mellon University
Romain Gay,UC Berkeley
David Martínez-Rubio,University of Oxford
Gonzalo Mena,Harvard
Shirin Jalali,Nokia Bell Labs
Carl Nuzman,Nokia Bell Labs
Iraj Saniee,Nokia Bell Labs
Yifan Sun,Carnegie Mellon University
Hao Gong,Princeton University
Xu Wang,Shenzhen University
Jingming He,Shenzhen University
Creighton Heaukulani,No Affiliation
Mark van der Wilk,PROWLER.io
Rahul Singh,MIT
Maneesh Sahani,"Gatsby Unit, UCL"
Arthur Gretton,"Gatsby Unit, UCL"
Hugo Caselles-Dupré,Flowers Laboratory (ENSTA ParisTech & INRIA) & Softbank Robotics Europe
Michael Garcia Ortiz,SoftBank Robotics Europe
David Filliat,ENSTA
Supratik Paul,University of Oxford
Vitaly Kurin,University of Oxford
Ian Char,Carnegie Mellon University
Youngseog Chung,Carnegie Mellon University
Willie Neiswanger,Carnegie Mellon University
Kirthevasan Kandasamy,Carnegie Mellon University
Oak Nelson,Princeton Plasma Physics Lab
Mark Boyer,Princeton Plasma Physics Lab
 Egemen Kolemen,Princeton Plasma Physics Lab
Jeff Schneider,Carnegie Mellon University
Candice Schumann,University of Maryland
Zhi Lang,"University of Maryland, College Park"
Jeffrey Foster,Tufts University
Jean-Yves Franceschi,Sorbonne Université
Aymeric Dieuleveut,"Ecole Polytechnique, IPParis"
Martin Jaggi,EPFL
Tao Tu,Columbia University
John Paisley,Columbia University
Stefan Haufe,Charité – Universitätsmedizin Berlin
Paul Sajda,Columbia University
Bryan Wilder,
Eric Ewing,University of Southern California
Bistra Dilkina,University of Southern California
Milind Tambe,USC
Fan Yang,Carnegie Mellon University
Liu Leqi,Carnegie Mellon University
Yifan Wu,Carnegie Mellon University
Tom M Mitchell,Carnegie Mellon University
William Cohen,Google AI
Rafael Müller,Google Brain
Geoffrey E Hinton,Google & University of Toronto
Harsh Gupta,University of Illinois at Urbana-Champaign
R. Srikant,University of Illinois at Urbana-Champaign
Lei Ying,ASU
Lixin Fan,WeBank AI Lab
Kam Woh Ng,University of Malaya
Chee Seng Chan,University of Malaya
Cole Hurwitz,University of Edinburgh
Kai Xu,University of Ediburgh
Akash Srivastava,MIT–IBM Watson AI Lab
Alessio Buccino,"CINPLA, University of Oslo"
Matthias Hennig,University of Edinburgh
Rajesh Jayaram,Carnegie Mellon University
Wen Sun,Microsoft Research NYC
Ilias Diakonikolas,UW Madison
Themis Gouleakis,Max Planck Institute for Informatics
Christos Tzamos,UW Madison
