conference,unique_id,title,categories,keywords
aaai,14945,Preferences Single-Peaked on a Circle,{'Economics'},{'voting'}
aaai,14871,Revenue Maximization for Finitely Repeated Ad Auctions,{'Economics'},{'trade'}
aaai,14917,Proportional Justified Representation,{'Economics'},{'voting'}
aaai,14645,Social Choice Under Metric Preferences: Scoring Rules and STV,{'Economics'},{'voting'}
aaai,14578,Fans Economy and All-Pay Auctions with Proportional Allocations,{'Economics'},{'auction'}
aaai,14414,The Dollar Auction with Spiteful Players,{'Economics'},{'auction'}
aaai,14713,Randomized Mechanisms for Selling Reserved Instances in Cloud,{'Economics'},{'pricing'}
aaai,14398,Embedded Bandits for Large-Scale Black-Box Optimization,{'Economics'},{'bandit'}
aaai,14872,Reactive Dialectic Search Portfolios for MaxSAT,{'Finance'},{'portfolio'}
aaai,14477,Regret Ratio Minimization in Multi-Objective Submodular Function Maximization,{'Economics'},{'trade'}
aaai,14209,Strategic Sequences of Arguments for Persuasion Using Decision Trees,{'Economics'},{'decision theory'}
aaai,14810,Diagnosability Planning for Controllable Discrete Event Systems,{'Healthcare'},{'diagnosis'}
aaai,14966,The Symbolic Interior Point Method,{'Economics'},{'decision theory'}
aaai,14516,Small Is Beautiful: Computing Minimal Equivalent EL Concepts,{'Healthcare'},{'medical'}
aaai,14337,ICU Mortality Prediction: A Classification Algorithm for Imbalanced Datasets,{'Healthcare'},{'mortality'}
aaai,14421,Event Video Mashup: From Hundreds of Videos to Minutes of Skeleton,{'Economics'},{'exchange'}
aaai,14292,Multitask Dyadic Prediction and Its Application in Prediction of Adverse Drug-Drug Interaction,{'Healthcare'},{'mortality'}
aaai,14543,Contextual RNN-GANs for Abstract Reasoning Diagram Generation,{'Misinformation'},{'GAN'}
aaai,14969,A Framework for Minimal Clustering Modification via Constraint Programming,{'Healthcare'},{'medical'}
aaai,14707,Collaborative Company Profiling: Insights from an Employee's Perspective,{'Finance'},{'finance'}
aaai,14700,Data-Driven Approximations to NP-Hard Problems,{'Economics'},{'trade'}
aaai,14989,Learning Implicit Tasks for Patient-Specific Risk Modeling in ICU,{'Healthcare'},{'mortality'}
aaai,14443,Portfolio Selection via Subset Resampling,{'Finance'},{'portfolio'}
aaai,14282,Adverse Drug Reaction Prediction with Symbolic Latent Dirichlet Allocation,"{'Safety', 'Economics'}","{'trade', 'Interpretability'}"
aaai,14234,Progressive Prediction of Student Performance in College Programs,{'Education'},{'student'}
aaai,14517,Discriminative Semi-Supervised Dictionary Learning with Entropy Regularization for Pattern Classification,{'Surveillance'},{'Face Recognition'}
aaai,14890,Fine-Grained Recurrent Neural Networks for Automatic Prostate Segmentation in Ultrasound Images,{'Healthcare'},{'medical'}
aaai,14156,Personalized Donor-Recipient Matching for Organ Transplantation,{'Healthcare'},{'medical'}
aaai,14735,The Bernstein Mechanism: Function Release under Differential Privacy,{'Privacy'},{'Differential privacy'}
aaai,14756,Heavy-Tailed Analogues of the Covariance Matrix for ICA,{'Finance'},{'finance'}
aaai,14992,Robust Partially-Compressed Least-Squares,{'Economics'},{'trade'}
aaai,14329,Informative Subspace Learning for Counterfactual Inference,{'Healthcare'},{'blood'}
aaai,14335,PAC Identification of a Bandit Arm Relative to a Reward Quantile,{'Economics'},{'bandit'}
aaai,14201,Sparse Boltzmann Machines with Structure Learning as Applied to Text Analysis,{'Safety'},{'Interpretability'}
aaai,14429,MPGL: An Efficient Matching Pursuit Method for Generalized LASSO,{'Economics'},{'trade'}
aaai,14896,Weighted Bandits or: How Bandits Learn Distorted Values That Are Not Expected,{'Economics'},{'bandit'}
aaai,14253,Learning Invariant Deep Representation for NIR-VIS Face Recognition,{'Surveillance'},{'Face Recognition'}
aaai,14213,Denoising Criterion for Variational Auto-Encoding Framework,{'Security'},{'injection'}
aaai,15043,Estimating Uncertainty Online Against an Adversary,{'Healthcare'},{'diagnosis'}
aaai,14705,Infinitely Many-Armed Bandits with Budget Constraints,{'Economics'},{'bandit'}
aaai,14212,Low-Rank Tensor Completion with Total Variation for Visual Data Inpainting,{'Healthcare'},{'medical'}
aaai,14325,Unimodal Thompson Sampling for Graph-Structured Arms,{'Economics'},{'bandit'}
aaai,14767,Achieving Privacy in the Adversarial Multi-Armed Bandit,"{'Privacy', 'Economics'}","{'bandit', 'Differential privacy'}"
aaai,14768,Thompson Sampling for Stochastic Bandits with Graph Feedback,{'Economics'},{'bandit'}
aaai,14976,Factorization Bandits for Interactive Recommendation,{'Economics'},{'bandit'}
aaai,14998,Efficient Ordered Combinatorial Semi-Bandits for Whole-Page Recommendation,{'Economics'},{'bandit'}
aaai,14214,Unbiased Multivariate Correlation Analysis,{'Safety'},{'Interpretability'}
aaai,14626,TaGiTeD: Predictive Task Guided Tensor Decomposition for Representation Learning from Electronic Health Records,{'Healthcare'},{'medical'}
aaai,14344,SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,{'Misinformation'},{'GAN'}
aaai,14742,CBRAP: Contextual Bandits with RAndom Projection,{'Economics'},{'bandit'}
aaai,14841,Kont: Computing Tradeoffs in Normative Multiagent Systems,{'Healthcare'},{'medical'}
aaai,14208,Solving Seven Open Problems of Offline and Online Control in Borda Elections,{'Economics'},{'voting'}
aaai,14764,Unit Dependency Graph and Its Application to Arithmetic Word Problem Solving,{'Economics'},{'election'}
aaai,14223,Condensed Memory Networks for Clinical Diagnostic Inferencing,{'Healthcare'},{'diagnosis'}
aaai,14904,Using Discourse Signals for Robust Instructor Intervention Prediction,{'Education'},{'mooc'}
aaai,14502,Improving Event Causality Recognition with Multiple Background Knowledge Sources Using Multi-Column Convolutional Neural Networks,{'Healthcare'},{'cancer'}
aaai,15009,Bounding the Probability of Resource Constraint Violations in Multi-Agent MDPs,{'Economics'},{'trade'}
aaai,14978,When to Reset Your Keys: Optimal Timing of Security Updates via Learning,{'Economics'},{'bandit'}
aaai,14754,Misspecified Linear Bandits,{'Economics'},{'bandit'}
aaai,14450,Solving Constrained Combinatorial Optimisation Problems via MAP Inference without High-Order Penalties,{'Economics'},{'knapsack'}
aaai,14544,Soft and Cost MDD Propagators,{'Economics'},{'knapsack'}
aaai,14825,Deep Manifold Learning of Symmetric Positive Definite Matrices with Application to Face Recognition,{'Surveillance'},{'Face Recognition'}
aaai,14856,Active Video Summarization: Customized Summaries via On-line Interaction with the User,{'Robotics'},{'AVs'}
aaai,14338,Visual Object Tracking for Unmanned Aerial Vehicles: A Benchmark and New Motion Models,{'Dual Use'},{'Unmanned Aerial Vehicles'}
aaai,14751,An Artificial Agent for Robust Image Registration,{'Healthcare'},{'diagnosis'}
aaai,14372,Reactive Versus Anticipative Decision Making in a Novel Gift-Giving Game,{'Healthcare'},{'fitness'}
aaai,14839,Towards Continuous Scientific Data Analysis and Hypothesis Evolution,{'Healthcare'},{'cancer'}
aaai,15044,Flexible Model Induction through Heuristic Process Discovery,{'Climate'},{'ecology'}
aaai,15018,Spatial Projection of Multiple Climate Variables Using Hierarchical Multitask Learning,{'Climate'},{'climate'}
aaai,14552,Fast-Tracking Stationary MOMDPs for Adaptive Management Problems,{'Economics'},{'trade'}
aaai,14424,Extracting Urban Microclimates from Electricity Bills,{'Climate'},{'climate'}
aaai,14216,Healthy Cognitive Aging: A Hybrid Random Vector Functional-Link Model for the Analysis of Alzheimer's Disease,{'Healthcare'},{'medical'}
aaai,14922,Large-Scale Occupational Skills Normalization for Online Recruitment,{'Economics'},{'economy'}
aaai,14432,Constraint-Based Verification of a Mobile App Game Designed for Nudging People to Attend Cancer Screening,{'Healthcare'},{'cancer'}
aaai,14219,Risk-Aware Planning: Methods and Case Study for Safer Driving Routes,{'Economics'},{'trade'}
aaai,14171,Crowdsensing Air Quality with Camera-Enabled Mobile Devices,{'Climate'},{'air quality'}
aaai,14555,A Summer Research Experience in Robotics,{'Education'},{'student'}
aaai,14546,Creating Serious Robots That Improve Society,{'Healthcare'},{'medical'}
aaai,15013,Model AI Assignments 2017,{'Education'},{'student'}
aaai,14413,An Advising Framework for Multiagent Reinforcement Learning Systems,{'Education'},{'student'}
aaai,14371,Coordinating Human and Agent Behavior in Collective-Risk Scenarios,{'Climate'},{'climate'}
aaai,14176,Handwriting Profiling Using Generative Adversarial Networks,{'Misinformation'},{'GANs'}
aaai,14470,Fast Electrical Demand Optimization Under Real-Time Pricing,{'Economics'},{'pricing'}
aaai,14798,Predicting Mortality of Intensive Care Patients via Learning about Hazard,{'Healthcare'},{'mortality'}
aaai,14579,Auto-Annotation of 3D Objects via ImageNet,{'Robotics'},{'lidar'}
aaai,14883,A Finite Memory Automaton for Two-Armed Bernoulli Bandit Problems,{'Economics'},{'bandit'}
aaai,14852,Boosting for Real-Time Multivariate Time Series Classification,{'Healthcare'},{'medical'}
aaai,14568,Structured Prediction in Time Series Data,{'Finance'},{'finance'}
aaai,14588,Project Scheduling in Complex Business Environments,{'Economics'},{'auction'}
aaai,14794,Efficient Clinical Concept Extraction in Electronic Medical Records,{'Healthcare'},{'medical'}
aaai,12306,Inferring Multi-Dimensional Ideal Points for US Supreme Court Justices,{'Economics'},{'voting'}
aaai,12440,MUST-CNN: A Multilayer Shift-and-Stitch Deep Convolutional Architecture for Sequence-Based Protein Structure Prediction,{'Healthcare'},{'protein'}
aaai,11843,Predicting ICU Mortality Risk by Grouping Temporal Trends from a Multivariate Panel of Physiologic Measurements,"{'Safety', 'Healthcare'}","{'mortality', 'Interpretability'}"
aaai,11931,From Tweets to Wellness: Wellness Event Detection from Twitter Streams,{'Healthcare'},{'wellness'}
aaai,12337,Commonsense in Parts: Mining Part-Whole Relations from the Web and Image Tags,{'Healthcare'},{'kidney'}
aaai,12538,Autonomous Electricity Trading Using Time-of-Use Tariffs in a Competitive Market,{'Economics'},{'economy'}
aaai,12163,From Duels to Battlefields: Computing Equilibria of Blotto and Other Games,{'Economics'},{'election'}
aaai,12052,Learning Market Parameters Using Aggregate Demand Queries,{'Economics'},{'exchange'}
aaai,11848,Assignment and Pricing in Roommate Market,{'Economics'},{'pricing'}
aaai,12159,Ad Auctions and Cascade Model: GSP Inefficiency and Algorithms,{'Economics'},{'auction'}
aaai,12239,On the Complexity of mCP-nets,{'Economics'},{'voting'}
aaai,12048,Reinstating Combinatorial Protections for Manipulation and Bribery in Single-Peaked and Nearly Single-Peaked Electorates,{'Economics'},{'voting'}
aaai,12410,Preferences Single-Peaked on Nice Trees,{'Economics'},{'voting'}
aaai,12494,Fast Optimal Clearing of Capped-Chain Barter Exchanges,"{'Healthcare', 'Economics'}","{'exchange', 'kidney'}"
aaai,12295,Quantitative Extensions of the Condorcet Jury Theorem with Strategic Agents,{'Economics'},{'voting'}
aaai,12024,Lift-Based Bidding in Ad Selection,{'Economics'},{'bid'}
aaai,12348,Solving the Station Repacking Problem,{'Economics'},{'auction'}
aaai,12253,Logical Foundations of Privacy-Preserving Publishing of Linked Data,{'Economics'},{'exchange'}
aaai,12243,Basic Probabilistic Ontological Data Exchange with Existential Rules,{'Economics'},{'exchange'}
aaai,12010,Resistance to Corruption of Strategic Argumentation,{'Economics'},{'voting'}
aaai,11811,Expressive Recommender Systems through Normalized Nonnegative Models,{'Safety'},{'Interpretability'}
aaai,11788,Mitosis Detection in Breast Cancer Histology Images via Deep Cascaded Networks,{'Healthcare'},{'cancer'}
aaai,11970,MOOCs Meet Measurement Theory: A Topic-Modelling Approach,"{'Education', 'Safety'}","{'mooc', 'Interpretability'}"
aaai,12338,A Framework for Outlier Description Using Constraint Programming,{'Healthcare'},{'medical'}
aaai,12174,Differential Privacy Preservation for Deep Auto-Encoders: an Application of Human Behavior Prediction,{'Privacy'},{'Differential privacy'}
aaai,11965,Learning Deep Convolutional Neural Networks for X-Ray Protein Crystallization Image Analysis,{'Healthcare'},{'protein'}
aaai,12005,Linear Submodular Bandits with a Knapsack Constraint,{'Economics'},{'knapsack'}
aaai,11920,Submodular Asymmetric Feature Selection in Cascade Object Detection,{'Surveillance'},{'Face detection'}
aaai,12023,Simultaneous Feature and Sample Reduction for Image-Set Classification,{'Surveillance'},{'Face Recognition'}
aaai,12049,Data Poisoning Attacks against Autoregressive Models,{'Attacks (Training)'},{'Poisoning'}
aaai,12474,Incremental Stochastic Factorization for Online Reinforcement Learning,{'Economics'},{'trade'}
aaai,12265,Uncertainty Propagation in Long-Term Structured Regression on Evolving Networks,{'Climate'},{'climate'}
aaai,12335,SAND: Semi-Supervised Adaptive Novel Class Detection and Classification over Data Stream,{'Economics'},{'trade'}
aaai,11746,Wishart Mechanism for Differentially Private Principal Components Analysis,{'Privacy'},{'Differential privacy'}
aaai,11881,"Gaussian Process Planning with Lipschitz Continuous Reward Functions: Towards Unifying Bayesian Optimization,  Active Learning,  and Beyond",{'Economics'},{'trade'}
aaai,12058,"All-in Text: Learning Document,  Label,  and Word Representations Jointly",{'Healthcare'},{'medical'}
aaai,12328,Metric Learning for Ordinal Data,{'Healthcare'},{'medical'}
aaai,11906,Algorithms for Differentially Private Multi-Armed Bandits,{'Economics'},{'bandit'}
aaai,12544,An Efficient Time Series Subsequence Pattern Mining and Prediction Framework with an Application to Respiratory Motion Prediction,{'Healthcare'},{'respiratory'}
aaai,12175,Instance Specific Metric Subspace Learning: A Bayesian Approach,{'Safety'},{'Interpretability'}
aaai,12368,On Order-Constrained Transitive Distance Clustering,{'Economics'},{'trade'}
aaai,12122,An Alternating Proximal Splitting Method with Global Convergence for Nonconvex Structured Sparsity Optimization,{'Safety'},{'Interpretability'}
aaai,12129,On the Differential Privacy of Bayesian Inference,{'Privacy'},{'Differential privacy'}
aaai,11937,A Scalable and Extensible Framework for Superposition-Structured Models,{'Safety'},{'Interpretability'}
aaai,12362,Complexity of Shift Bribery in Committee Elections,{'Economics'},{'voting'}
aaai,12133,Frugal Bribery in Voting,{'Economics'},{'voting'}
aaai,11960,Age of Exposure: A Model of Word Learning,{'Education'},{'student'}
aaai,11771,Extracting Topical Phrases from Clinical Documents,{'Healthcare'},{'medical'}
aaai,11951,Temporal Topic Analysis with Endogenous and Exogenous Processes,{'Economics'},{'economy'}
aaai,12437,Multi-Agent Path Finding with Payload Transfers and the Package-Exchange Robot-Routing Problem,{'Economics'},{'exchange'}
aaai,12495,Using the Shapley Value to Analyze Algorithm Portfolios,{'Finance'},{'portfolio'}
aaai,12357,Increasing Nogoods in Restart-Based Search,{'Economics'},{'trade'}
aaai,12451,Exponential Recency Weighted Average Branching Heuristic for SAT Solvers,{'Economics'},{'bandit'}
aaai,11908,Structured Output Prediction for Semantic Perception in Autonomous Vehicles,{'Robotics'},{'autonomous vehicles'}
aaai,11977,Face Model Compression by Distilling Knowledge from Neurons,"{'Education', 'Surveillance'}","{'student', 'Face Recognition'}"
aaai,12032,An Axiomatic Framework for Ex-Ante Dynamic Pricing Mechanisms in Smart Grid,{'Economics'},{'pricing'}
aaai,12179,Understanding Dominant Factors for Precipitation over the Great Lakes Region,{'Climate'},{'climate'}
aaai,11949,Benders Decomposition for Large-Scale Prescriptive Evacuations,{'Disaster Relief'},{'Hurricane'}
aaai,12492,Adaptable Regression Method for Ensemble Consensus Forecasting,{'Climate'},{'climate'}
aaai,12311,Optimizing Resilience in Large Scale Networks,{'Healthcare'},{'medical'}
aaai,12100,An Algorithm to Coordinate Measurements Using Stochastic Human Mobility Patterns in Large-Scale Participatory Sensing Settings,{'Climate'},{'air quality'}
aaai,11868,Bagging Ensembles for the Diagnosis and Prognostication of Alzheimer's Disease,{'Healthcare'},{'diagnosis'}
aaai,11759,Affective Personalization of a Social Robot Tutor for Children's Second Language Skills,{'Education'},{'student'}
aaai,12279,Data-Augmented Software Diagnosis,{'Healthcare'},{'diagnosis'}
aaai,12263,Automated Volumetric Intravascular Plaque Classification Using Optical Coherence Tomography (OCT),{'Healthcare'},{'blood'}
aaai,11993,A Hidden Markov Model Approach to Infer Timescales for High-Resolution Climate Archives,{'Climate'},{'climate'}
aaai,12088,Using Declarative Programming in an Introductory Computer Science Course for High School Students,{'Education'},{'student'}
aaai,12288,Teaching Automated Strategic Reasoning Using Capstone Tournaments,{'Economics'},{'decision theory'}
aaai,12472,Model AI Assignments 2016,{'Education'},{'student'}
aaai,12457,Embedding Ethical Principles in Collective Decision Support Systems,{'Healthcare'},{'diagnosis'}
aaai,12137,Trust and Distrust Across Coalitions: Shapley Value Based Centrality Measures for Signed Networks (Student Abstract Version),{'Education'},{'student'}
aaai,12106,Efficient Collaborative Crowdsourcing,{'Economics'},{'trade'}
aaai,12014,Apprenticeship Scheduling for Human-Robot Teams,{'Dual Use'},{'Missile'}
aaai,12339,Inductive Logic Programming: Challenges,{'Education'},{'student'}
aaai,12242,SVVAMP: Simulator of Various Voting Algorithms in Manipulating Populations,{'Economics'},{'voting'}
aaai,11907,Toward Interactive Relational Learning,{'Economics'},{'trade'}
aaai,11813,A Fraud Resilient Medical Insurance Claim System,{'Healthcare'},{'medical'}
aaai,11793,Productive Aging through Intelligent Personalized Crowdsourcing,{'Economics'},{'pricing'}
aaai,8194,Towards Scalable Exploration of Diagnoses in an Ontology Stream,{'Healthcare'},{'diagnosis'}
aaai,8331,Capturing Difficulty Expressions in Student Online Q&A Discussions,{'Education'},{'student'}
aaai,8314,A Machine Learning Approach to Musically Meaningful Homogeneous Style Classification,{'Safety'},{'Interpretability'}
aaai,8396,Forecasting Potential Diabetes Complications,{'Healthcare'},{'medical'}
aaai,8436,Modeling Subjective Experience-Based Learning under Uncertainty and Frames,{'Economics'},{'bandit'}
aaai,8577,A Region-Based Model for Estimating Urban Air Pollution,{'Climate'},{'air quality'}
aaai,8421,A Latent Variable Model for Discovering Bird Species Commonly Misidentified by Citizen Scientists,{'Climate'},{'ecology'}
aaai,8572,False-Name Bidding and Economic Efficiency in Combinatorial Auctions,{'Economics'},{'auction'}
aaai,8534,On the Incompatibility of Efficiency and Strategyproofness in Randomized Social Choice,{'Economics'},{'voting'}
aaai,8407,Solving Imperfect Information Games Using Decomposition,{'Economics'},{'trade'}
aaai,8409,Modal Ranking: A Uniquely Robust Voting Rule,{'Economics'},{'voting'}
aaai,8496,A Characterization of the Single-Peaked Single-Crossing Domain,{'Economics'},{'election'}
aaai,8561,On the Axiomatic Characterization of Runoff Voting Rules,{'Economics'},{'voting'}
aaai,8419,Mechanism Design for Mobile Geo-Location Advertising,{'Economics'},{'trade'}
aaai,8549,Voting with Rank Dependent Scoring Rules,{'Economics'},{'voting'}
aaai,8186,Increasing VCG Revenue by Decreasing the Quality of Items,{'Economics'},{'bid'}
aaai,8306,A Control Dichotomy for Pure Scoring Rules,{'Economics'},{'election'}
aaai,8355,A Multiarmed Bandit Incentive Mechanism for Crowdsourcing Demand Response in Smart Grids,{'Economics'},{'bandit'}
aaai,8507,Incomplete Preferences in Single-Peaked Electorates,{'Economics'},{'voting'}
aaai,8336,Item Bidding for Combinatorial Public Projects,{'Economics'},{'bid'}
aaai,8474,Two Case Studies for Trading Multiple Indivisible Goods with Indifferences,{'Economics'},{'exchange'}
aaai,8470,Strategyproof Exchange with Multiple Private Endowments,{'Economics'},{'exchange'}
aaai,8307,A Strategy-Proof Online Auction with Time Discounting Values,{'Economics'},{'auction'}
aaai,8618,Relaxation Search: A Simple Way of Managing Optional Clauses,{'Economics'},{'exchange'}
aaai,8591,Simpler Bounded Suboptimal Search,{'Economics'},{'trade'}
aaai,8579,A Strategy-Aware Technique for Learning Behaviors from Discrete Human Feedback,{'Economics'},{'bandit'}
aaai,8269,Computing General First-Order Parallel and Prioritized Circumscription,{'Healthcare'},{'diagnosis'}
aaai,8531,Knowledge Graph Embedding by Translating on Hyperplanes,{'Economics'},{'trade'}
aaai,8582,Using Model-Based Diagnosis to Improve Software Testing,{'Healthcare'},{'diagnosis'}
aaai,8592,Predicting Postoperative Atrial Fibrillation from Independent ECG Components,{'Healthcare'},{'mortality'}
aaai,8338,Online Portfolio Selection with Group Sparsity,{'Finance'},{'portfolio'}
aaai,8571,Learning Latent Engagement Patterns of Students in Online Courses,{'Education'},{'mooc'}
aaai,8286,Doubly Regularized Portfolio with Risk Minimization,{'Finance'},{'portfolio'}
aaai,8403,Evaluating Trauma Patients: Addressing Missing Covariates with Joint Optimization,{'Healthcare'},{'medical'}
aaai,8658,Privacy and Regression Model Preserved Learning,{'Healthcare'},{'medical'}
aaai,8196,Accurate Integration of Aerosol Predictions by Smoothing on a Manifold,{'Climate'},{'aerosol'}
aaai,8648,Robust Winners and Winner Determination Policies under Candidate Uncertainty,{'Economics'},{'voting'}
aaai,8274,Prices Matter for the Parameterized Complexity of Shift Bribery,{'Economics'},{'voting'}
aaai,8349,Multi-Organ Exchange: The Whole Is Greater than the Sum of its Parts,"{'Healthcare', 'Economics'}","{'trade', 'kidney'}"
aaai,8452,On Computing Optimal Strategies in Open List Proportional Representation: The Two Parties Case,{'Economics'},{'election'}
aaai,8318,Internally Stable Matchings and Exchanges,"{'Healthcare', 'Economics'}","{'exchange', 'kidney'}"
aaai,8413,Decentralized Multi-Agent Reinforcement Learning in Average-Reward Dynamic DCOPs,{'Economics'},{'bandit'}
aaai,8547,Active Learning with Model Selection,{'Economics'},{'trade'}
aaai,8390,Combining Multiple Correlated Reward and Shaping Signals by Measuring Confidence,{'Economics'},{'trade'}
aaai,8422,Large-Scale Optimistic Adaptive Submodularity,{'Surveillance'},{'Face detection'}
aaai,8132,Kernelized Bayesian Transfer Learning,{'Healthcare'},{'cancer'}
aaai,8514,Spectral Thompson Sampling,{'Economics'},{'bandit'}
aaai,8255,The Role of Dimensionality Reduction in Classification,{'Economics'},{'trade'}
aaai,8261,Efficient Generalized Fused Lasso and its Application to the Diagnosis of Alzheimer’s Disease,{'Healthcare'},{'diagnosis'}
aaai,8339,Tree-Based On-Line Reinforcement Learning,{'Healthcare'},{'medical'}
aaai,8664,Predicting the Hardness of Learning Bayesian Networks,{'Finance'},{'portfolio'}
aaai,8595,Generalizing Policy Advice with Gaussian Process Bandits for Dynamic Skill Improvement,{'Economics'},{'bandit'}
aaai,8601,Diagnosing Analogue Linear Systems Using Dynamic Topological Reconfiguration,{'Healthcare'},{'diagnosis'}
aaai,8449,Exploiting Competition Relationship for Robust Visual Recognition,{'Surveillance'},{'Face Recognition'}
aaai,8225,Similarity-Preserving Binary Signature for Linear Subspaces,{'Surveillance'},{'Face Recognition'}
aaai,8383,Locality-Constrained Low-Rank Coding for Image Classification,{'Surveillance'},{'Face Recognition'}
aaai,8200,Learning Low-Rank Representations with Classwise Block-Diagonal Structure for Robust Face Recognition,{'Surveillance'},{'Face Recognition'}
aaai,8636,Efficient Object Detection via Adaptive Online Selection of Sensor-Array Elements,{'Surveillance'},{'Face detection'}
aaai,8598,On Hair Recognition in the Wild by Machine,{'Surveillance'},{'Face Recognition'}
aaai,8341,The Quest Draft: An Automated Course Allocation Algorithm,"{'Education', 'Economics'}","{'auction', 'student'}"
aaai,8125,Pattern Discovery in Protein Networks Reveals High-Confidence Predictions of Novel Interactions,{'Healthcare'},{'protein'}
aaai,8473,Advice Provision for Energy Saving in Automobile Climate Control Systems,{'Climate'},{'climate'}
aaai,8219,Swissnoise: Online Polls with Game-Theoretic Incentives,{'Economics'},{'election'}
aaai,8249,Shallow Blue: Lego-Based Embodied AI as a Platform for Cross-Curricular Project Based Learning,{'Education'},{'student'}
aaai,8584,Teaching With Watson,{'Education'},{'student'}
aaai,8248,Jim: A Platform for Affective AI in an Interdisciplinary Setting,{'Education'},{'student'}
aaai,8613,Easychair as a Pedagogical Tool: Engaging Graduate Students in the Reviewing Process,{'Education'},{'student'}
aaai,8199,"Imputation, Social Choice, and Partial Preferences",{'Economics'},{'election'}
aaai,8297,Reputation-Aware Continuous Double Auction,{'Economics'},{'auction'}
aaai,9381,A New Granger Causal Model for Influence Evolution in Dynamic Social Networks: The Case of DBLP,{'Safety'},{'Interpretability'}
aaai,9601,A Tri-Role Topic Model for Domain-Specific Question Answering,{'Economics'},{'voting'}
aaai,9393,"A Multivariate Timeseries Modeling Approach to Severity of Illness Assessment and Forecasting in ICU with Sparse, Heterogeneous Clinical Data",{'Healthcare'},{'blood'}
aaai,9534,Probabilistic Graphical Models for Boosting Cardinal and Ordinal Peer Grading in MOOCs,{'Education'},{'mooc'}
aaai,9803,Extending Analogical Generalization with Near-Misses,{'Satellite'},{'geospatial'}
aaai,9497,FutureMatch: Combining Human Value Judgments and Machine Learning to Match in Dynamic Environments,"{'Healthcare', 'Economics'}","{'exchange', 'kidney'}"
aaai,9725,Learning Large-Scale Dynamic Discrete Choice Models of Spatio-Temporal Preferences with Application to Migratory Pastoralism in East Africa,{'Climate'},{'climate'}
aaai,9712,A Nonparametric Online Model for Air Quality Prediction,{'Climate'},{'air quality'}
aaai,9427,Risk Based Optimization for Improving Emergency Medical Systems,{'Healthcare'},{'medical'}
aaai,9501,SmartShift: Expanded Load Shifting Incentive Mechanism for Risk-Averse Consumers,{'Economics'},{'pricing'}
aaai,9942,Incentivizing Users for Balancing Bike Sharing Systems,{'Economics'},{'pricing'}
aaai,9887,Justified Representation in Approval-Based Committee Voting,{'Economics'},{'voting'}
aaai,9550,Learning Valuation Distributions from Partial Observation,{'Economics'},{'auction'}
aaai,9968,Strategic Voting and Strategic Candidacy,{'Economics'},{'voting'}
aaai,10033,A Faster Core Constraint Generation Algorithm for Combinatorial Auctions,{'Economics'},{'auction'}
aaai,9735,Price Evolution in a Continuous Double Auction Prediction Market With a Scoring-Rule Based Market Maker,{'Economics'},{'auction'}
aaai,9340,Conventional Machine Learning for Social Choice,{'Economics'},{'voting'}
