university_name,year_2017,year_2016,year_2015,year_2014,year_2013,year_2012,year_2011,year_2010,year_2009,year_2008
Washington State University,"356,901","334,082","333,134","326,414","341,082","335,930","320,510","304,352","301,080","283,086"
"Scripps Research Institute, The","354,582","364,670","384,161","386,231","399,899","398,673","400,768","387,298","382,275","366,047"
University of Rochester,"353,003","346,165","346,932","353,419","389,355","389,612","429,034","414,655","398,187","378,368"
Oregon Health & Science University,"348,449","331,524","326,915","314,802","308,767","305,530","334,324","314,990","309,675","301,396"
"Colorado State University, Fort Collins","338,404","331,862","317,219","307,978","313,238","375,919","330,784","302,896","311,720","302,613"
Carnegie Mellon University,"328,100","319,168","242,004","251,222","271,277","255,933","242,882","222,790","217,687","210,988"
Princeton University,"326,207","307,653","279,851","293,274","269,908","275,666","263,335","242,570","212,510","204,489"
Iowa State University,"323,584","328,385","306,125","313,263","266,596","260,995","267,641","250,120","228,526","228,167"
"Rockefeller University, The","319,037","335,136","323,932","316,368","298,474","292,896","272,491","265,750","252,478","247,505"
"State University of New York, Polytechnic Institute","308,861","316,680","295,313","412,851","1,125","1,074",811,713,0,0
Dartmouth College,"308,445","233,636","209,646","212,606","201,591","195,930","210,631","194,141","190,425","188,122"
University of Nebraska-Lincoln,"302,204","294,856","284,438","278,299","266,507","253,321","235,296","224,135","251,195","244,869"
University of Kansas,"300,319","297,933","311,383","301,534","298,498","286,262","274,727","267,961","236,544","227,433"
Uniformed Services University of the Health Sciences,"298,370","256,203","361,173","262,489","164,232","143,250","175,365","134,126","192,268","106,179"
University of Hawaii at Manoa,"292,021","304,476","316,497","324,342","326,750","312,311","318,316","303,085","290,707","271,835"
Albert Einstein College of Medicine,"289,685","289,660",0,0,0,0,0,0,0,0
Florida State University,"282,901","268,288","256,449","252,548","250,877","225,378","230,411","227,329","237,794","211,557"
University of Massachusetts Medical School,"279,884","253,099","250,338","241,869","245,923","256,090","262,714","232,039","204,033","178,614"
"University of Oklahoma, The","272,239","259,998","242,367","253,344","255,674","240,974","249,297","218,089","213,720","204,765"
Temple University,"268,385","246,392","227,468","224,101","224,087","138,318","134,533","124,528","111,421","99,815"
University of Connecticut,"267,647","265,522","259,397","258,056","242,251","256,854","253,792","237,908","232,944","233,246"
Oregon State University,"267,068","254,275","245,317","230,963","232,677","240,507","228,814","216,595","257,564","233,358"
"Louisiana State University, Baton Rouge","266,177","291,972","281,154","290,076","283,400","285,395","287,841","289,872","294,780","280,081"
Medical University of South Carolina,"262,267","260,098","243,534","242,594","245,451","236,586","213,346","224,632","216,778","189,369"
"University of Missouri, Columbia","253,952","248,300","246,684","237,266","236,423","239,810","230,957","238,500","253,527","251,894"
"University of New Mexico, The","246,597","239,550","232,271","228,849","227,703","220,360","220,565","211,771","205,831","202,694"
"University of Texas Health Science Center at Houston, The","246,060","237,016","234,299","233,737","233,256","236,250","261,172","240,772","217,623","197,252"
"George Washington University, The","245,519","231,829","241,117","227,995","202,428","196,448","197,621","196,917","103,793","181,688"
Mississippi State University,"240,972","239,446","226,359","209,729","206,424","233,197","226,070","231,675","225,426","219,017"
"State University of New York, Stony Brook University","238,612","230,621","220,580","211,631","225,712","219,744","211,356","204,728","189,299","190,712"
"University of California, Santa Barbara","238,246","230,139","222,870","231,322","236,497","233,883","230,435","225,730","227,221","214,441"
Virginia Commonwealth University,"235,464","225,999","218,925","201,858","196,015","201,366","207,756","197,709","162,283","171,637"
University of Central Florida,"233,702","242,308","215,519","185,555","126,681","116,891","109,190","117,985","148,809","147,092"
Wayne State University,"227,728","221,537","213,878","218,435","224,331","227,070","259,895","254,492","257,207","253,604"
Tufts University,"223,409","189,085","168,314","160,825","156,525","160,922","156,395","156,106","154,575","145,169"
University of Notre Dame,"212,823","202,216","190,954","182,228","175,220","157,691","134,410","110,369","104,866","103,311"
Georgetown University,"212,319","183,788","176,131","172,726","178,995","180,308","169,916","159,355","151,064","144,957"
Brown University,"212,290","347,016","342,040","341,531","361,010","365,120","344,090","335,838","187,380","182,596"
University of Massachusetts Amherst,"210,416","214,576","213,902","200,199","190,739","194,775","181,297","169,141","160,666","156,817"
Medical College of Wisconsin,"209,618","199,925","199,283","199,713","201,237","209,040","215,358","191,816","176,237","165,529"
"University of South Carolina, Columbia","208,670","209,271","208,736","206,173","203,365","214,901","201,592","229,145",0,0
"University of Tennessee, The, Knoxville","203,800","183,268","173,533","179,041","193,054","179,252","167,456","150,671",0,0
Georgia State University,"200,171","161,314","139,596","123,915","111,999","91,148","92,725","81,015","78,920","94,429"
Kansas State University,"196,478","193,254","188,721","184,945","183,096","176,141","169,167","160,679","151,376","141,535"
Woods Hole Oceanographic Institution,"194,088","212,374","216,592","220,016","198,232","204,352","198,775","181,746","157,289","150,720"
Clemson University,"193,268","183,965","171,215","161,070","152,444","142,096","166,350","174,693","193,924","200,789"
"University of Texas Health Science Center at San Antonio, The","192,557","194,885","170,277","172,716","175,983","184,298","198,655","207,115","221,535","201,323"
Texas Tech University,"191,482","172,521","163,897","159,308","142,676","138,026","149,399","133,360","92,058","60,165"
Oklahoma State University,"191,478","183,799","131,593","128,348","136,637","168,645","165,601","151,650","120,445","121,226"
"Auburn University, Auburn","190,340","152,381","135,899","142,487","147,229","133,013","163,335","145,115",0,0
Utah State University,"187,314","180,590","175,353","169,605","158,352","157,355","174,167","149,169","145,240","148,257"
West Virginia University,"185,606","172,477","170,145","164,454","167,144","169,303","166,420","154,926","145,656","145,107"
"University of Texas Medical Branch, The","185,106","179,541","173,506","178,014","180,198","180,888","193,555","188,399","184,845","180,026"
University of Delaware,"183,428","176,295","175,724","175,563","179,967","170,174","169,746","153,311","126,788","126,971"
Wake Forest University,"182,227","170,006","171,926","176,380","182,721","204,328","209,134","192,034","201,701","200,750"
Tulane University,"180,993","165,438","152,658","157,825","160,414","164,373","171,703","165,513","163,572","165,678"
University of Louisville,"177,588","172,907","163,262","183,376","186,772","196,842","197,438","189,090","167,178","164,123"
Florida International University,"177,292","170,846","163,033","132,531","128,070","118,058","110,006","110,271","101,322","107,025"
University of Nebraska Medical Center,"171,491","150,694","145,009","139,126","137,485","141,619","133,036","138,219","123,629","112,887"
University of Houston,"169,431","162,049","150,628","140,597","130,844","116,288","113,709","119,811","102,917","87,691"
Rice University,"167,277","154,543","144,679","138,536","131,003","117,223","110,235","97,903","79,431","74,720"
"University of California, Riverside","163,632","152,233","144,511","133,558","132,617","135,494","132,238","130,288","139,536","139,319"
"University of Arkansas, Fayetteville","157,791","145,020","133,660","125,824","125,501","123,199","120,007","113,909","117,448","115,397"
State University of New York University at Albany,"156,386","120,232","111,705","130,955","137,759","137,758","148,625","359,364","341,624","271,187"
North Dakota State University,"153,119","156,297","153,542","154,437","150,173","135,493","134,064","126,419","114,260","116,327"
University of Alaska Fairbanks,"152,694","144,259","142,742","155,769","162,658","160,407","165,530","161,986","157,600","149,313"
Syracuse University,"145,705","84,651","69,896","66,321","70,967","85,649","83,686","107,024","79,950","62,098"
University of New Hampshire,"145,375","145,015","144,735","147,544","147,446","165,156","143,002","115,562","117,546","121,092"
Thomas Jefferson University,"142,569","122,396","119,631","118,378","89,273","100,506","104,923","103,064","101,188","99,275"
Northeastern University,"142,349","129,040","122,915","116,245","116,088","107,862","86,783","79,949","67,174","66,315"
New Jersey Institute of Technology,"142,164","130,812","110,512","106,081","107,310","102,851","100,491","92,318","92,891","89,792"
Drexel University,"138,577","127,909","128,027","131,170","123,813","116,768","115,020","118,349","105,020","103,558"
University of Dayton,"135,214","116,589","98,182","86,881","84,252","81,030","90,557","93,309","95,043","83,293"
"University of Mississippi, The","134,542","121,665","94,040","109,922","108,168","121,731","122,765","110,020","100,102","99,413"
"Montana State University, Bozeman","129,622","112,073","108,414","113,348","113,136","124,228","125,966","135,084","126,844","130,120"
University of Arkansas for Medical Sciences,"128,508","125,378","132,451","131,438","133,677","129,056","122,066","119,518","106,314","117,440"
University of Wyoming,"125,032","112,056","56,996","51,422","65,490","65,611","57,549","55,319","79,684","76,711"
"University of California, Santa Cruz","124,344","151,192","151,713","151,734","150,777","155,516","155,617","143,919","170,461","162,100"
University of Vermont,"118,298","115,955","114,547","109,701","115,486","115,697","132,356","129,856","122,991","116,463"
"University of Texas at Dallas, The","113,205","106,205","98,551","99,727","98,842","90,700","93,230","82,044","65,804","59,300"
George Mason University,"112,404","108,899","106,410","98,680","95,913","90,198","88,089","84,120","85,306","76,838"
University of Idaho,"109,537","102,457","97,493","95,594","95,891","97,227","96,229","87,207","89,242","82,489"
New Mexico State University,"106,020","114,619","132,377","134,262","142,365","141,151","139,062","157,872","154,363","141,523"
"University of Nevada, Reno","105,869","95,475","90,138","87,324","89,797","85,726","89,740","95,423","109,151","104,841"
"Rensselaer Polytechnic Institute, Troy","104,797","101,127","102,841","105,608","92,495","92,720","84,834","83,952","78,188","77,967"
University of North Dakota,"102,823","70,275","64,384","67,595","68,942","80,149","74,882","76,560","71,858","65,185"
University of Rhode Island,"101,871","97,900","93,828","91,706","101,898","114,323","102,630","90,016","84,989","78,871"
University of Louisiana at Lafayette,"100,956","80,099","77,300","67,580","61,887","65,275","69,978","69,412","75,474","65,462"
Georgia Regents University,"99,661","71,338","67,737","64,118","64,033",0,0,0,0,0
University of Maine,"99,502","79,222","79,500","101,247","77,583","92,135","111,600","111,282","101,344","96,755"
"State University of New York, Binghamton U.","98,089","85,192","79,895","71,382","76,005","81,000","72,539","72,057","71,912","62,959"
Cold Spring Harbor Laboratory,"97,288","88,943","84,653","76,733","78,236","84,072","89,913",0,0,0
"University of Texas at Arlington, The","97,197","87,386","77,798","89,175","86,735","78,556","72,483","71,414","55,005","48,475"
University of Oregon,"95,974","100,754","79,698","91,203","94,522","105,030","103,019","94,107","86,371","78,934"
"University of Texas at El Paso, The","94,565","91,330","89,418","79,537","83,249","79,649","74,069","68,870","59,983","50,603"
"University of Alabama in Huntsville, The","94,376","96,865","88,439","89,325","101,016","87,388","75,724","75,683","74,340","75,818"
San Diego State University,"89,187","90,722","93,572","95,674","86,733","92,867","106,591","99,137","91,074","81,385"
"University of Montana,The, Missoula","85,044","70,059","60,485","55,032","60,189","59,313","60,159","63,540","59,791","58,557"
Cleveland State University,"83,762","77,720","57,662","61,783","67,378","61,111","55,502","34,235","14,345","15,027"
Wichita State University,"78,514","65,930","59,940","58,859","61,388","61,279","63,538","51,524","75,655","60,640"
Rush University,"74,062","73,351","79,048","80,551","81,770","80,300","79,212","73,398","96,975","89,513"
"University of Tennessee, The, Health Science Center","73,393","71,547","65,771","67,841","71,902","77,754","81,220","81,904",0,0
Michigan Technological University,"71,629","72,536","69,607","68,526","70,689","71,989","70,089","63,471","60,395","60,356"
"University of Maryland, Baltimore County","70,406","70,166","68,688","67,833","71,819","74,993","91,657","87,156","81,056","72,057"
"University of Tennessee, The,  Institute of Agriculture","70,192","69,136","67,059","67,171","67,887","68,480","62,786","59,212",0,0
"University of Texas at San Antonio, The","70,163","59,831","54,949","47,061","53,626","57,233","58,667","56,279","46,521","34,601"
University of Massachusetts Boston,"70,019","64,223","62,374","61,186","60,380","60,086","57,040","56,416","47,028","38,018"
University of Massachusetts Lowell,"69,677","68,494","70,384","64,591","63,136","60,624","60,013","59,345","56,664","40,873"
Brandeis University,"68,437","73,435","74,700","74,992","76,060","74,660","74,889","71,006","65,586","51,686"
Old Dominion University,"67,990","70,054","65,092","67,037","99,138","104,579","102,192","97,176","96,186","87,594"
"University of Nevada, Las Vegas","66,285","62,825","42,000","39,448","35,935","34,543","39,526","44,457","41,652","53,320"
College of William and Mary,"64,127","63,027","61,554","59,015","57,940","55,805","58,919","57,461","59,638","63,400"
South Dakota State University,"63,412","60,677","58,373","58,334","63,843","68,743","69,680","67,552","55,584","48,063"
"University of Alabama, The, Tuscaloosa","63,282","62,549","58,234","53,140","55,443","55,885","53,633","40,762","36,889","33,477"
"University of Southern Mississippi, The","61,659","59,363","51,840","51,938","51,962","60,079","46,591","42,059","47,205","47,582"
Ohio University,"61,092","59,117","61,078","60,800","59,734","57,203","57,643","50,440","43,097","38,984"
Texas State University,"60,741","54,298","47,694","39,265","37,053","36,664","33,487","30,560","24,497","19,309"
Naval Postgraduate School,"60,386","65,529","89,170","99,032","94,880","132,450","101,363","103,510","82,451","89,940"
Colorado School of Mines,"59,477","60,931","58,349","59,695","59,091","58,836","48,704","44,879","40,117","34,050"
Wright State University,"59,379","55,484","54,289","54,985","50,489","46,213","48,501","48,575","48,215","47,803"
University of Maryland Center for Environmental Science,"58,409","54,974","52,235","50,814","53,683","48,224","50,007","42,670","41,670","40,556"
Boston College,"58,088","54,469","47,761","49,724","50,702","51,442","52,253","50,537","45,795","44,413"
"Indiana University-Purdue University, Indianapolis","58,056","57,853","55,973","324,261","332,760","316,914","322,617","296,194",0,0
Saint Louis University,"56,402","42,151","44,457","44,481","48,231","49,086","53,179","46,839","38,075","59,236"
American University,"56,034","57,064","58,325","63,628","61,087","43,526","46,611","39,747","35,194","15,742"
"City University of New York, The City College","54,627","62,484","53,223","52,654","55,138","57,982","60,648","46,699","37,538","35,096"
University of Wisconsin-Milwaukee,"54,181","59,813","63,414","60,752","56,587","61,771","65,648","71,181","56,196","52,443"
Rochester Institute of Technology,"51,263","45,518","40,442","35,945","36,613","36,935","34,889","38,663","33,393","27,025"
"University of Toledo, The","50,030","50,019","52,354","61,900","69,072","68,228","74,149","70,399","67,464","61,082"
"University of Memphis, The","49,695","48,321","46,675","55,566","48,141","51,194","48,321","49,517","54,970","56,075"
Portland State University,"48,964","56,572","53,872","54,787","55,435","58,489","58,975","56,533","44,574","35,705"
"University of North Texas, Health Science Center","48,476","50,567","46,335","47,002","44,904","46,865","45,943","38,862","29,582","28,179"
"Southern Illinois University, Carbondale","48,416","53,172","57,509","65,256","70,854","71,097","71,130","69,924","66,658","67,435"
United States Air Force Academy,"48,287","55,358","38,326","44,663","57,164","56,044","73,607","62,097","50,452","45,445"
University of California Office of the President,"46,399","39,051","48,341","50,103","67,447","65,627","63,420","72,542","83,108","100,189"
Northern Arizona University,"46,253","39,580","35,206","31,590","30,516","28,100","30,785","28,803","26,723","26,160"
Florida Atlantic University,"46,025","26,750","21,214","22,997","23,967","65,377","62,024","56,472","56,127","49,410"
Howard University,"45,768","41,038","47,322","40,771","42,789","45,486","42,341","40,080","34,714","38,010"
Van Andel Institute,"44,578","40,040","40,502",0,0,0,0,0,0,0
"University of North Texas, Denton","43,789","37,106","43,628","44,180","49,518","46,943","42,475","31,496","24,120","18,066"
Brigham Young University,"43,406","42,304","39,126","38,051","36,562","33,843","37,142","32,997","29,901","28,988"
"University of Puerto Rico, Medical Sciences Campus","42,423","46,232","43,316","40,444","43,374","45,649","64,017","39,134","41,668","35,570"
Kent State University,"42,003","34,661","38,069","25,666","23,149","26,507","27,455","26,331","27,275","26,168"
University of South Alabama,"41,431","46,670","43,722","41,681","40,590","40,172","42,233","35,500","32,882","29,895"
"University of Akron, The","41,326","58,817","58,512","69,528","69,640","66,413","60,352","52,884","34,853","27,415"
"Louisiana State University, Health Sciences Center, New Orleans","40,785","43,067","46,840","45,486","49,443","53,712","57,007","59,776","59,111","60,007"
"Texas Tech University Health Sciences Center, Lubbock","39,767","40,235","40,438","38,015","61,412","61,219","58,774","51,282","37,363","24,716"
Loyola University Chicago,"39,738","42,672","48,664","50,774","51,676","45,903","42,708","43,903","36,519","35,307"
San Jose State University,"39,192","41,662","45,037","43,509","38,326","34,727","40,149","38,241","55,213","52,408"
Missouri University of Science and Technology,"38,243","35,756","35,842","39,065","40,397","38,588","41,581","42,263","35,672","36,533"
Florida Agricultural and Mechanical University,"37,578","45,390","46,522","46,367","51,149","52,263","53,326","53,474","27,018","25,515"
North Carolina Agricultural and Technical State University,"37,379","33,759","35,172","35,047","33,994","35,103","34,930","35,297","28,615","29,036"
Lehigh University,"36,969","32,941","36,788","37,066","35,220","31,992","32,086","37,332","34,352","38,190"
Morehouse School of Medicine,"36,925","38,774","33,367","41,858","36,638","37,586","33,946","30,669","27,392","27,077"
Air Force Institute of Technology,"35,733","29,998","26,866","23,902","27,592","32,746","31,879","31,259","27,458","20,527"
State University of New York Upstate Medical University,"35,551","31,892","32,453","33,460","34,286","35,897","39,988","43,824","33,194","36,359"
Stevens Institute of Technology,"35,144","35,765","34,082","30,826","28,908","31,929","41,622","35,544","28,660","30,493"
"University of California, Merced","35,093","29,370","29,688","23,916","22,909","22,656","21,328","21,591","22,013","17,403"
University of West Florida,"35,054","40,815","31,232","19,579","19,332","16,221","21,710","17,757","13,288","14,137"
Boise State University,"34,992","32,085","31,341","26,568","25,690","27,920","24,204","18,731","12,305","11,592"
Worcester Polytechnic Institute,"33,368","37,822","36,130","29,929","25,298","20,232","22,137","18,613","15,645","15,887"
Illinois Institute of Technology,"32,659","29,826","34,336","31,356","36,722","32,576","44,463","36,554","25,709","25,289"
State University of New York Downstate Medical Center,"31,873","33,735","28,652","33,331","39,354","43,257","41,993","32,512","29,184","32,299"
Alabama A&M University,"31,685","30,289","29,202","29,461","29,720","29,979","30,238","30,497","14,752","8,959"
"City University of New York, Hunter College","31,273","37,094","36,368","38,879","40,059","41,022","39,772","38,900","37,349","34,644"
Marquette University,"30,034","28,422","24,816","23,633","20,856","18,606","19,876","14,310","10,470","10,602"
San Francisco State University,"29,940","28,273","26,345","29,457","33,885","30,291","26,198","25,615","25,323","21,382"
Southern Methodist University,"29,879","31,819","29,282","32,401","22,544","24,397","24,453","18,742","16,741","22,902"
"University of Texas-Pan American, The","29,500","31,007","11,266","11,739","9,425","9,062","8,672","8,693","8,971","8,479"
Mercer University,"29,447","31,735","32,838","30,209","28,892","31,376","29,039","27,298","21,974","19,739"
Desert Research Institute,"29,440","29,422","22,103","23,778","27,695","33,056","35,331","34,367","36,490","38,045"
Baylor University,"29,400","26,767","24,642","20,729","13,616","10,161","12,343","10,925","14,035","12,655"
State University of New York College of Environmental Science and Forestry,"29,036","24,504","22,051","19,027","21,239","23,132","25,024","26,916","20,513","26,359"
Eastern Virginia Medical School,"28,671","32,550","42,296","43,917","44,183","37,745","36,569","44,420","36,678","30,777"
"University of South Dakota, The","28,358","25,864","25,661","30,700","33,187","31,982","28,959","30,616","34,690","22,742"
Texas A&M University-Corpus Christi,"27,993","24,786","24,507","21,321","17,418","15,776","17,509","17,266","13,858","12,289"
University of Puerto Rico at Mayaguez,"26,130","25,491","28,100","27,152","29,225","32,115","34,424","26,475","20,991","20,094"
East Carolina University,"26,117","25,273","26,549","29,925","38,271","31,990","28,114","23,995","24,922","16,880"
University of Massachusetts Dartmouth,"26,102","26,824","26,776","28,219","27,326","22,732","25,644","25,725","20,669","20,925"
"University of North Carolina at Charlotte, The","26,097","27,815","24,870","23,342","24,764","25,141","27,533","31,814","29,272","25,196"
"Rutgers, The State University of New Jersey, Newark","25,898","21,492","24,387","28,083","37,134","34,797","35,774","27,745",0,0
"University of Missouri, Kansas City","25,123","26,292","26,595","29,164","28,829","29,227","32,769","30,163","28,657","28,892"
"University of Minnesota, Duluth","24,956","27,528","27,550","21,904","21,383","21,530","23,400","21,150",0,0
Creighton University,"24,315","23,510","23,825","25,560","29,983","32,594","31,443","27,700","27,104","26,872"
"Catholic University of America, The","24,282","25,139","24,265","22,331","23,235","24,971","25,397","21,454","20,400","20,767"
"Columbia University, Teachers College","24,194","24,124","23,269","20,538","19,649","20,805","18,406","17,167","18,399","17,104"
"University of North Carolina at Greensboro, The","23,231","23,965","23,026","20,723","16,590","19,080","26,121","22,436","19,811","16,451"
Jackson State University,"22,790","23,832","23,908","26,609","36,264","46,943","49,998","44,862","44,884","42,739"
Louisiana Tech University,"22,741","23,104","23,827","22,942","24,949","26,546","27,583","26,020","21,458","22,768"
Texas A&M University-Kingsville,"22,633","21,309","20,894","21,819","18,653","17,419","17,114","17,378","16,217","14,495"
Louisiana State University Medical Center Shreveport,"22,560","23,353","24,069","25,004","28,266","29,365","31,021","30,817","31,293","33,458"
Nova Southeastern University,"22,508","19,559","14,775","13,716","12,712","12,908","12,322","10,116","9,018","7,603"
Western Michigan University,"22,372","18,927","19,679","18,942","18,979","21,073","25,051","26,391","22,579","26,649"
University of Denver,"22,289","21,326","16,116","18,183","19,262","15,237","17,004","15,748","16,727","14,657"
Loma Linda University,"21,846","22,977","25,519","23,375","31,715","31,772","39,409","35,990","37,557","35,890"
University of Puerto Rico at Rio Piedras,"21,204","23,491","28,579","28,793","29,234","33,099","32,582","30,515","31,592","35,665"
"California State University, Sacramento","21,106","20,676","17,930","13,136","15,564","14,053","16,344","15,207","14,461","4,718"
